[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 19:26:56

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 18:52:45	
Measurement duration (s)	30.385	
File Name	2018_12_17_18_52_45_983	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.2950000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81668	
0.817	10.81064	
1.327	10.79503	
1.838	10.81531	
2.348	10.81541	
2.859	10.83330	
3.369	10.82239	
3.880	10.82410	
4.390	10.81613	
4.901	10.84923	
5.411	10.81601	
5.922	10.91634	
6.432	10.82434	
6.942	10.84556	
7.453	10.80662	
7.963	10.83502	
8.474	10.80222	
8.984	10.81906	
9.495	10.80397	
10.005	10.81426	
10.516	10.76610	
11.026	10.82683	
11.537	10.84517	
12.047	10.83406	
12.558	10.80757	
13.068	10.84029	
13.579	10.80341	
14.089	10.81583	
14.600	10.77348	
15.110	10.84952	
15.621	10.76976	
16.131	10.81213	
16.642	10.85287	
17.152	10.82437	
17.662	10.77553	
18.173	10.84247	
18.683	10.91268	
19.194	10.86820	
19.704	10.82648	
20.215	10.80960	
20.725	10.91705	
21.236	10.78562	
21.746	10.82554	
22.257	10.78432	
22.767	10.86068	
23.278	10.80749	
23.788	10.80702	
24.299	10.76645	
24.809	10.84084	
25.320	10.84594	
25.830	10.82079	
26.341	10.81101	
26.851	10.83350	
27.362	10.80372	
27.872	10.80950	
28.382	10.80765	
28.893	10.81703	
29.403	10.88869	
29.914	10.83161	
30.424	10.80860	
30.935	10.81679	
31.445	10.85267	
31.956	10.83140	
32.466	10.82938	
32.977	10.77939	
33.487	10.81468	
33.998	10.84197	
34.508	10.80468	
35.019	10.81358	
35.529	10.85916	
36.040	10.84987	
36.550	10.88375	
37.061	10.83338	
37.571	10.81817	
38.082	10.82074	
38.592	10.90991	
39.102	10.77312	
39.613	10.88718	
40.123	10.81249	
40.634	10.79854	
41.144	10.85403	
41.655	10.80765	
42.165	10.83145	
42.676	10.80724	
43.186	10.81998	
43.697	10.82498	
44.207	10.81715	
44.718	10.80752	
45.228	10.78503	
45.739	10.83603	
46.249	10.81167	
46.760	10.87630	
47.270	10.85117	
47.781	10.86204	
48.291	10.77697	
48.802	10.82283	
49.312	10.78812	
49.822	10.86402	
50.333	10.82079	
50.843	10.80389	
51.354	10.80198	
51.864	10.82729	
52.375	10.84828	
52.885	10.80954	
53.396	10.75659	
53.906	10.82483	
54.417	10.83630	
54.927	10.80788	
55.438	10.83616	
55.948	10.86379	
56.459	10.81678	
56.969	10.81296	
57.480	10.85273	
57.990	10.83324	
58.501	10.80945	
59.011	10.83181	
59.522	10.83049	
60.032	10.94675	
60.542	10.85232	
61.053	10.85702	
61.563	10.79298	
62.074	10.82045	
62.584	10.82493	
63.095	10.82251	
63.605	10.81483	
64.116	10.83387	
64.626	10.83019	
65.137	10.83519	
65.647	10.84443	
66.158	10.87007	
66.668	10.77351	
67.179	10.82170	
67.689	10.84909	
68.200	10.83256	
68.710	10.81571	
69.221	10.81695	
69.731	10.81481	
70.242	10.85758	
70.752	10.81126	
71.262	10.88135	
71.773	10.82378	
72.283	10.88965	
72.794	10.85963	
73.304	10.80471	
73.815	10.84285	
74.325	10.82335	
74.836	10.80661	
75.346	10.82372	
75.857	10.82565	
76.367	10.92533	
76.878	10.86262	
77.388	10.85239	
77.899	10.82626	
78.409	10.88222	
78.920	10.80083	
79.430	10.82859	
79.941	10.85320	
80.451	10.81771	
80.962	10.88797	
81.472	10.84317	
81.982	10.87356	
82.493	10.78906	
83.003	10.84253	
83.514	10.81349	
84.024	10.85736	
84.535	10.79362	
85.045	10.78806	
85.556	10.76209	
86.066	10.78032	
86.577	10.80569	
87.087	10.79679	
87.598	10.89799	
88.108	10.74681	
88.619	10.81919	
89.129	10.76579	
89.640	10.78948	
90.150	10.76752	
90.661	10.92222	
91.171	10.75019	
91.682	10.76875	
92.192	10.76608	
92.702	10.91963	
93.213	10.70000	
93.723	10.87011	
94.234	10.82367	
94.744	10.83143	
95.255	10.84027	
95.765	10.80756	
96.276	10.77734	
96.786	10.70000	
97.297	10.76888	
97.807	10.96200	
98.318	10.86712	
98.828	10.85445	
99.339	10.75449	
99.849	10.88944	
100.360	10.76466	
100.870	10.79721	
101.381	10.76497	
101.891	10.83867	
102.402	10.80338	
102.912	10.78901	
103.422	10.80348	
103.933	10.84468	
104.443	10.85055	
104.954	10.79942	
105.464	11.03693	
105.975	11.98551	
106.485	11.75826	
106.996	10.70000	
107.506	11.45394	
108.017	10.70000	
108.527	10.93869	
109.038	11.89806	
109.548	10.76047	
110.059	11.85830	
110.569	11.45497	
111.080	11.20431	
111.590	10.70249	
112.101	10.75970	
112.611	10.81950	
113.122	10.96075	
113.632	11.02712	
114.142	10.90500	
114.653	11.67300	
