[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:39:37

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:23:59	
Measurement duration (s)	21.487	
File Name	2018_12_17_17_23_59_806	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.8000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81721	
0.817	10.81483	
1.327	10.81405	
1.838	10.83394	
2.348	10.83596	
2.859	10.80368	
3.369	10.81938	
3.880	10.81813	
4.390	10.81866	
4.901	10.82943	
5.411	10.81172	
5.922	10.83304	
6.432	10.81090	
6.942	10.83869	
7.453	10.81198	
7.963	10.85498	
8.474	10.89340	
8.984	10.82476	
9.495	10.80186	
10.005	10.80631	
10.516	10.81789	
11.026	10.80296	
11.537	10.83165	
12.047	10.83670	
12.558	10.79798	
13.068	10.82540	
13.579	10.80536	
14.089	10.82943	
14.600	10.80523	
15.110	10.82222	
15.621	10.81364	
16.131	10.83977	
16.642	10.82664	
17.152	10.83021	
17.662	10.82295	
18.173	10.81266	
18.683	10.86889	
19.194	10.82009	
19.704	10.84892	
20.215	10.83259	
20.725	10.84923	
21.236	10.80771	
21.746	10.84188	
22.257	10.87636	
22.767	10.81349	
23.278	10.82298	
23.788	10.82364	
24.299	10.84433	
24.809	10.83551	
25.320	10.86078	
25.830	10.80799	
26.341	10.90300	
26.851	10.78720	
27.362	10.86504	
27.872	10.81914	
28.382	10.88542	
28.893	10.87708	
29.403	10.80611	
29.914	10.84148	
30.424	10.84582	
30.935	10.80287	
31.445	10.85427	
31.956	10.95691	
32.466	10.83585	
32.977	10.77148	
33.487	10.81658	
33.998	10.80902	
34.508	10.84195	
35.019	10.97410	
35.529	10.85671	
36.040	10.84164	
36.550	10.89719	
37.061	10.86609	
37.571	10.79483	
38.082	10.78558	
38.592	10.80832	
39.102	10.83927	
39.613	10.85859	
40.123	10.81667	
40.634	10.83150	
41.144	10.81942	
41.655	10.90063	
42.165	10.78913	
42.676	10.79015	
43.186	10.83700	
43.697	10.88138	
44.207	10.86958	
44.718	10.81296	
45.228	10.80827	
45.739	10.84489	
46.249	10.81816	
46.760	10.82020	
47.270	10.82722	
47.781	10.81682	
48.291	10.80432	
48.802	10.83490	
49.312	10.77612	
49.822	10.79863	
50.333	10.81801	
50.843	10.79467	
51.354	10.85064	
51.864	10.80512	
52.375	10.87141	
52.885	10.89998	
53.396	10.87987	
53.906	10.84394	
54.417	10.81119	
54.927	10.82990	
55.438	10.83546	
55.948	10.83575	
56.459	10.77911	
56.969	10.86477	
57.480	10.81870	
57.990	10.81299	
58.501	10.82222	
59.011	10.85650	
59.522	10.82539	
60.032	10.80143	
60.542	10.92111	
61.053	10.82945	
61.563	10.83188	
62.074	10.88196	
62.584	10.85438	
63.095	10.87229	
63.605	10.86494	
64.116	10.80620	
64.626	10.87286	
65.137	10.82511	
65.647	10.80377	
66.158	10.85556	
66.668	10.82457	
67.179	10.82100	
67.689	10.88281	
68.200	10.82183	
68.710	10.81710	
69.221	10.85619	
69.731	10.86019	
70.242	10.87770	
70.752	10.87925	
71.262	10.81812	
71.773	10.82732	
72.283	10.83042	
72.794	10.80451	
73.304	10.87624	
73.815	10.79557	
74.325	10.80023	
74.836	10.91391	
75.346	10.80540	
75.857	10.85989	
76.367	10.86913	
76.878	10.85822	
77.388	10.82989	
77.899	10.82376	
78.409	10.82049	
78.920	10.81428	
79.430	10.82590	
79.941	10.81811	
80.451	10.80466	
80.962	10.86349	
81.472	10.88331	
81.982	10.86048	
82.493	10.86535	
83.003	10.88542	
83.514	10.83503	
84.024	10.81865	
84.535	10.80676	
85.045	10.83232	
85.556	10.91415	
86.066	10.77559	
86.577	10.75548	
87.087	10.78374	
87.598	10.78622	
88.108	10.76961	
88.619	10.77037	
89.129	10.95429	
89.640	11.19218	
90.150	11.41164	
90.661	10.79172	
91.171	10.70000	
91.682	10.87410	
92.192	10.83500	
92.702	10.83747	
93.213	10.88072	
93.723	10.84605	
94.234	10.79554	
94.744	10.83676	
95.255	10.85879	
95.765	10.85364	
96.276	10.87731	
96.786	10.85895	
97.297	10.87306	
97.807	10.88373	
98.318	10.86588	
98.828	10.82458	
99.339	10.93265	
99.849	10.83164	
100.360	10.80582	
100.870	10.78994	
101.381	10.82100	
101.891	10.82839	
102.402	10.83006	
102.912	10.81511	
103.422	10.92602	
103.933	10.85741	
104.443	10.73672	
104.954	10.76365	
105.464	11.13224	
105.975	10.89128	
106.485	10.93895	
106.996	10.70000	
107.506	10.88027	
108.017	10.90242	
108.527	10.80777	
109.038	10.95035	
109.548	11.13815	
110.059	10.82673	
110.569	10.96601	
111.080	11.01001	
111.590	11.11529	
112.101	11.03182	
112.611	11.38500	
113.122	11.04390	
113.632	10.86601	
114.142	11.08791	
114.653	11.04770	
