[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:40:28

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:28:36	
Measurement duration (s)	21.121	
File Name	2018_12_17_17_28_36_472	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.8000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82408	
0.817	10.81338	
1.327	10.81195	
1.838	10.82314	
2.348	10.83240	
2.859	10.81473	
3.369	10.81704	
3.880	10.82137	
4.390	10.80615	
4.901	10.85570	
5.411	10.81234	
5.922	10.86614	
6.432	10.82052	
6.942	10.81746	
7.453	10.84285	
7.963	10.84130	
8.474	10.82060	
8.984	10.80924	
9.495	10.79440	
10.005	10.80436	
10.516	10.83473	
11.026	10.84365	
11.537	10.77997	
12.047	10.81527	
12.558	10.82975	
13.068	10.82360	
13.579	10.77527	
14.089	10.79112	
14.600	10.81151	
15.110	10.80511	
15.621	10.81928	
16.131	10.81051	
16.642	10.82419	
17.152	10.82731	
17.662	10.82062	
18.173	10.78945	
18.683	10.82098	
19.194	10.81483	
19.704	10.78410	
20.215	10.89270	
20.725	10.83395	
21.236	10.78752	
21.746	10.85810	
22.257	10.83511	
22.767	10.83769	
23.278	10.86765	
23.788	10.80067	
24.299	10.70000	
24.809	10.79894	
25.320	10.75374	
25.830	10.85450	
26.341	10.79840	
26.851	10.78106	
27.362	10.82989	
27.872	10.82783	
28.382	10.81527	
28.893	10.79702	
29.403	10.76504	
29.914	10.78662	
30.424	10.82048	
30.935	10.83282	
31.445	10.79365	
31.956	10.78094	
32.466	10.86642	
32.977	10.81731	
33.487	10.90026	
33.998	10.78998	
34.508	10.81654	
35.019	10.91646	
35.529	10.88615	
36.040	10.79841	
36.550	10.88384	
37.061	10.79818	
37.571	10.85251	
38.082	10.87971	
38.592	10.70000	
39.102	10.84293	
39.613	10.79465	
40.123	10.85751	
40.634	10.80059	
41.144	10.85204	
41.655	10.82173	
42.165	10.87160	
42.676	10.83209	
43.186	10.83910	
43.697	10.81971	
44.207	10.79940	
44.718	10.78719	
45.228	10.86299	
45.739	10.77122	
46.249	10.83419	
46.760	10.80216	
47.270	10.83099	
47.781	10.84474	
48.291	10.90097	
48.802	10.82256	
49.312	10.92639	
49.822	10.79445	
50.333	10.80959	
50.843	10.82080	
51.354	10.84870	
51.864	10.80917	
52.375	10.81136	
52.885	10.82514	
53.396	10.83459	
53.906	10.80674	
54.417	10.80931	
54.927	10.83836	
55.438	10.84027	
55.948	10.81087	
56.459	10.81796	
56.969	10.78915	
57.480	10.82706	
57.990	10.81005	
58.501	10.85790	
59.011	10.83175	
59.522	10.80369	
60.032	10.78754	
60.542	10.83924	
61.053	10.79138	
61.563	10.84173	
62.074	10.89633	
62.584	10.87626	
63.095	10.82623	
63.605	10.80471	
64.116	10.78811	
64.626	10.79790	
65.137	10.70000	
65.647	10.82476	
66.158	10.80009	
66.668	10.77480	
67.179	10.85223	
67.689	10.82947	
68.200	10.78875	
68.710	10.84065	
69.221	10.82314	
69.731	10.80795	
70.242	10.81888	
70.752	10.80524	
71.262	10.79583	
71.773	10.82249	
72.283	10.79120	
72.794	10.84508	
73.304	10.81924	
73.815	10.74908	
74.325	10.86895	
74.836	10.84288	
75.346	10.82795	
75.857	10.81690	
76.367	10.81074	
76.878	10.82957	
77.388	10.85547	
77.899	10.89606	
78.409	10.82322	
78.920	10.81872	
79.430	10.79267	
79.941	10.83822	
80.451	10.82412	
80.962	10.81902	
81.472	10.85604	
81.982	10.84287	
82.493	10.80614	
83.003	10.79078	
83.514	10.75123	
84.024	10.76474	
84.535	10.81460	
85.045	10.79324	
85.556	10.81400	
86.066	10.95070	
86.577	10.77634	
87.087	10.76696	
87.598	10.75591	
88.108	10.76277	
88.619	10.76383	
89.129	10.70000	
89.640	11.39221	
90.150	10.94536	
90.661	10.74423	
91.171	10.78565	
91.682	10.84521	
92.192	10.82301	
92.702	10.78195	
93.213	10.77238	
93.723	10.75884	
94.234	10.81407	
94.744	10.87738	
95.255	10.82068	
95.765	10.78904	
96.276	10.82021	
96.786	10.88546	
97.297	10.80621	
97.807	10.82580	
98.318	10.82027	
98.828	10.88039	
99.339	10.76058	
99.849	10.87016	
100.360	10.79429	
100.870	10.88073	
101.381	10.78134	
101.891	10.77747	
102.402	10.80325	
102.912	10.82046	
103.422	10.82024	
103.933	10.74499	
104.443	10.77967	
104.954	10.78155	
105.464	11.00476	
105.975	10.71749	
106.485	10.88829	
106.996	10.70000	
107.506	11.36750	
108.017	11.58546	
108.527	11.29097	
109.038	11.59874	
109.548	11.25421	
110.059	11.58225	
110.569	10.86491	
111.080	10.70000	
111.590	10.70000	
112.101	10.99994	
112.611	11.46007	
113.122	11.27920	
113.632	10.71790	
114.142	11.52126	
114.653	11.12390	
