[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:39:50

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:25:09	
Measurement duration (s)	21.546	
File Name	2018_12_17_17_25_09_545	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.8000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81032	
0.817	10.81646	
1.327	10.81972	
1.838	10.81186	
2.348	10.80270	
2.859	10.83273	
3.369	10.83775	
3.880	10.80880	
4.390	10.83530	
4.901	10.86613	
5.411	10.83135	
5.922	10.82771	
6.432	10.81829	
6.942	10.86050	
7.453	10.82935	
7.963	10.82116	
8.474	10.81720	
8.984	10.85278	
9.495	10.82473	
10.005	10.80643	
10.516	10.83629	
11.026	10.84738	
11.537	10.83729	
12.047	10.84226	
12.558	10.83981	
13.068	10.81724	
13.579	10.80844	
14.089	10.83305	
14.600	10.85486	
15.110	10.84645	
15.621	10.85343	
16.131	10.83025	
16.642	10.86486	
17.152	10.81814	
17.662	10.79932	
18.173	10.82903	
18.683	10.79927	
19.194	10.84148	
19.704	10.86141	
20.215	10.81920	
20.725	10.83511	
21.236	10.82296	
21.746	10.82768	
22.257	10.81145	
22.767	10.82355	
23.278	10.85040	
23.788	10.83520	
24.299	10.98618	
24.809	10.80092	
25.320	10.88390	
25.830	10.83415	
26.341	10.81214	
26.851	10.82708	
27.362	10.82594	
27.872	10.82880	
28.382	10.81594	
28.893	10.81979	
29.403	10.85789	
29.914	10.92383	
30.424	10.78081	
30.935	10.82786	
31.445	10.82598	
31.956	10.80506	
32.466	10.85618	
32.977	10.82691	
33.487	10.83982	
33.998	10.79725	
34.508	10.83053	
35.019	10.80910	
35.529	10.78318	
36.040	10.81043	
36.550	10.80673	
37.061	10.85796	
37.571	10.83118	
38.082	10.83582	
38.592	10.82331	
39.102	10.78287	
39.613	10.85526	
40.123	10.79705	
40.634	10.82979	
41.144	10.82593	
41.655	10.88154	
42.165	10.80391	
42.676	10.80456	
43.186	10.81979	
43.697	10.86151	
44.207	10.80256	
44.718	10.86611	
45.228	10.81488	
45.739	10.78247	
46.249	10.80601	
46.760	10.91781	
47.270	10.83180	
47.781	10.84623	
48.291	10.80424	
48.802	10.82577	
49.312	10.82646	
49.822	10.80376	
50.333	10.81724	
50.843	10.82432	
51.354	10.82661	
51.864	10.83627	
52.375	10.88573	
52.885	10.81395	
53.396	10.81977	
53.906	10.80426	
54.417	10.84602	
54.927	10.83823	
55.438	10.82606	
55.948	10.82395	
56.459	10.80959	
56.969	10.81313	
57.480	10.81050	
57.990	10.81865	
58.501	10.82815	
59.011	10.81148	
59.522	10.85289	
60.032	10.80064	
60.542	10.80616	
61.053	10.79695	
61.563	10.79797	
62.074	10.88559	
62.584	10.96052	
63.095	10.85271	
63.605	10.81853	
64.116	10.82329	
64.626	10.82958	
65.137	10.84027	
65.647	10.82855	
66.158	10.82242	
66.668	10.78237	
67.179	10.79842	
67.689	10.79901	
68.200	10.79784	
68.710	10.80865	
69.221	10.92367	
69.731	10.85473	
70.242	10.80975	
70.752	10.80773	
71.262	10.92273	
71.773	10.79953	
72.283	10.75899	
72.794	10.81093	
73.304	10.84263	
73.815	10.82855	
74.325	10.85945	
74.836	10.81393	
75.346	10.77954	
75.857	10.82125	
76.367	10.79330	
76.878	10.80185	
77.388	10.83048	
77.899	10.82935	
78.409	10.82595	
78.920	10.81470	
79.430	10.78883	
79.941	10.83999	
80.451	10.88040	
80.962	10.78960	
81.472	10.89219	
81.982	10.79313	
82.493	10.79755	
83.003	10.81640	
83.514	10.83974	
84.024	10.83242	
84.535	10.84724	
85.045	10.76752	
85.556	10.79703	
86.066	10.78463	
86.577	10.76276	
87.087	10.77065	
87.598	10.78134	
88.108	10.78479	
88.619	10.78853	
89.129	10.79273	
89.640	11.28954	
90.150	11.42729	
90.661	10.90228	
91.171	10.97902	
91.682	10.84964	
92.192	10.77985	
92.702	10.79284	
93.213	10.83426	
93.723	10.81968	
94.234	10.88144	
94.744	10.82090	
95.255	10.78597	
95.765	10.79054	
96.276	10.76906	
96.786	10.92489	
97.297	10.84997	
97.807	10.84698	
98.318	10.78440	
98.828	10.85465	
99.339	10.92784	
99.849	10.81595	
100.360	10.80891	
100.870	10.81154	
101.381	10.79929	
101.891	10.80456	
102.402	10.81706	
102.912	10.77188	
103.422	10.79669	
103.933	10.79005	
104.443	10.79730	
104.954	10.77585	
105.464	10.85030	
105.975	11.24778	
106.485	11.25865	
106.996	11.72312	
107.506	11.57771	
108.017	10.70000	
108.527	11.60629	
109.038	11.66370	
109.548	11.55848	
110.059	11.15724	
110.569	11.47665	
111.080	11.56168	
111.590	10.70053	
112.101	11.53996	
112.611	11.27908	
113.122	11.62451	
113.632	10.80516	
114.142	11.44350	
114.653	11.56439	
