[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:16:05

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:03:25	
Measurement duration (s)	24.831	
File Name	2018_12_17_17_03_25_544	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.0000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82693	
0.817	10.81475	
1.327	10.82005	
1.838	10.81559	
2.348	10.82594	
2.859	10.83788	
3.369	10.81369	
3.880	10.81370	
4.390	10.84033	
4.901	10.84396	
5.411	10.81170	
5.922	10.80119	
6.432	10.84227	
6.942	10.81046	
7.453	10.83528	
7.963	10.83437	
8.474	10.80951	
8.984	10.80870	
9.495	10.86230	
10.005	10.80840	
10.516	10.82411	
11.026	10.84320	
11.537	10.81768	
12.047	10.84940	
12.558	10.85749	
13.068	10.79616	
13.579	10.82947	
14.089	10.84317	
14.600	10.85319	
15.110	10.85155	
15.621	10.85422	
16.131	10.87586	
16.642	10.83222	
17.152	10.84586	
17.662	10.86223	
18.173	10.83519	
18.683	10.87601	
19.194	10.86336	
19.704	10.84430	
20.215	10.82830	
20.725	10.81022	
21.236	10.82079	
21.746	10.85724	
22.257	10.79688	
22.767	10.83646	
23.278	10.85426	
23.788	10.81210	
24.299	10.85683	
24.809	10.88045	
25.320	10.82196	
25.830	10.84701	
26.341	10.88580	
26.851	10.70000	
27.362	10.84799	
27.872	10.80372	
28.382	10.79935	
28.893	10.86297	
29.403	10.79517	
29.914	10.85246	
30.424	10.81686	
30.935	10.83901	
31.445	10.79908	
31.956	10.82930	
32.466	10.87164	
32.977	10.77638	
33.487	10.84990	
33.998	10.84654	
34.508	10.90600	
35.019	10.82025	
35.529	10.80911	
36.040	10.79921	
36.550	10.83078	
37.061	10.83046	
37.571	10.84912	
38.082	10.81843	
38.592	10.87624	
39.102	10.85397	
39.613	10.81385	
40.123	10.88274	
40.634	10.83402	
41.144	10.86769	
41.655	10.84073	
42.165	10.78097	
42.676	10.84875	
43.186	10.83507	
43.697	10.82284	
44.207	10.84459	
44.718	10.82679	
45.228	10.83144	
45.739	10.88601	
46.249	10.89842	
46.760	10.79931	
47.270	10.84327	
47.781	10.87093	
48.291	10.86009	
48.802	10.84761	
49.312	10.82768	
49.822	10.79078	
50.333	10.85597	
50.843	10.82806	
51.354	10.83884	
51.864	10.82262	
52.375	10.84256	
52.885	10.86328	
53.396	10.82325	
53.906	10.86254	
54.417	10.82025	
54.927	10.83450	
55.438	10.81447	
55.948	10.79769	
56.459	10.85647	
56.969	10.82975	
57.480	10.83230	
57.990	10.94084	
58.501	10.78894	
59.011	10.85847	
59.522	10.81540	
60.032	10.81505	
60.542	10.83590	
61.053	10.84597	
61.563	10.78279	
62.074	10.91333	
62.584	10.87072	
63.095	10.83849	
63.605	10.77444	
64.116	10.84769	
64.626	10.80302	
65.137	10.84724	
65.647	10.83387	
66.158	10.87884	
66.668	10.85344	
67.179	10.85349	
67.689	10.85005	
68.200	10.85498	
68.710	10.84407	
69.221	10.79713	
69.731	10.83095	
70.242	10.85334	
70.752	10.80920	
71.262	10.78942	
71.773	10.88112	
72.283	10.79491	
72.794	10.80493	
73.304	10.82670	
73.815	10.80588	
74.325	10.84230	
74.836	10.82293	
75.346	10.80062	
75.857	10.79720	
76.367	10.87173	
76.878	10.81977	
77.388	10.82664	
77.899	10.88595	
78.409	10.84989	
78.920	10.85974	
79.430	10.85745	
79.941	10.87122	
80.451	10.82900	
80.962	10.81387	
81.472	10.88670	
81.982	10.80518	
82.493	10.86585	
83.003	10.89058	
83.514	10.79207	
84.024	10.85046	
84.535	10.82514	
85.045	10.83137	
85.556	10.78405	
86.066	10.76996	
86.577	10.71117	
87.087	10.76450	
87.598	10.85105	
88.108	10.79801	
88.619	10.82688	
89.129	10.79855	
89.640	11.42622	
90.150	11.00066	
90.661	10.82242	
91.171	10.86424	
91.682	10.92707	
92.192	11.00426	
92.702	10.86357	
93.213	10.86850	
93.723	10.88861	
94.234	10.79460	
94.744	10.81746	
95.255	10.81593	
95.765	10.93267	
96.276	10.79855	
96.786	10.86249	
97.297	10.85694	
97.807	10.94711	
98.318	10.92839	
98.828	10.89381	
99.339	10.90963	
99.849	10.84503	
100.360	10.91818	
100.870	10.81053	
101.381	10.87643	
101.891	10.79032	
102.402	10.78412	
102.912	10.84620	
103.422	10.80525	
103.933	10.83623	
104.443	10.77578	
104.954	10.82998	
105.464	10.99005	
105.975	11.44073	
106.485	11.18745	
106.996	10.70000	
107.506	10.70000	
108.017	11.32083	
108.527	11.26310	
109.038	11.19103	
109.548	10.74964	
110.059	11.43867	
110.569	10.70000	
111.080	11.37804	
111.590	11.57500	
112.101	10.79979	
112.611	10.86862	
113.122	11.72853	
113.632	11.74537	
114.142	11.58044	
114.653	11.20631	
