[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:16:52

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:08:04	
Measurement duration (s)	25.174	
File Name	2018_12_17_17_08_04_765	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.0000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81063	
0.817	10.82337	
1.327	10.80602	
1.838	10.81221	
2.348	10.81905	
2.859	10.83471	
3.369	10.81952	
3.880	10.82112	
4.390	10.81283	
4.901	10.84049	
5.411	10.81954	
5.922	10.86249	
6.432	10.82753	
6.942	10.78879	
7.453	10.82831	
7.963	10.84655	
8.474	10.78791	
8.984	10.90001	
9.495	10.81570	
10.005	10.81326	
10.516	10.81796	
11.026	10.84932	
11.537	10.85845	
12.047	10.85978	
12.558	10.81789	
13.068	10.83018	
13.579	10.80044	
14.089	10.80188	
14.600	10.82340	
15.110	10.81883	
15.621	10.85583	
16.131	10.82002	
16.642	10.83076	
17.152	10.78716	
17.662	10.81143	
18.173	10.83820	
18.683	10.86344	
19.194	10.83848	
19.704	10.82757	
20.215	10.81380	
20.725	10.83575	
21.236	10.86392	
21.746	10.86059	
22.257	10.79636	
22.767	10.83912	
23.278	10.84621	
23.788	10.78793	
24.299	10.84012	
24.809	10.81895	
25.320	10.82101	
25.830	10.79691	
26.341	10.81085	
26.851	10.80232	
27.362	10.81531	
27.872	10.82662	
28.382	10.78676	
28.893	10.82565	
29.403	10.80735	
29.914	10.87339	
30.424	10.81690	
30.935	10.86647	
31.445	10.80851	
31.956	10.82617	
32.466	10.80158	
32.977	10.81202	
33.487	10.79300	
33.998	10.78471	
34.508	10.81118	
35.019	10.78494	
35.529	10.84562	
36.040	10.91195	
36.550	10.81546	
37.061	10.86950	
37.571	10.82581	
38.082	10.79549	
38.592	10.79358	
39.102	10.88656	
39.613	10.84017	
40.123	10.80602	
40.634	10.83093	
41.144	10.81134	
41.655	10.84648	
42.165	10.79942	
42.676	10.82290	
43.186	10.80901	
43.697	10.83518	
44.207	10.82001	
44.718	10.83985	
45.228	10.84241	
45.739	10.81788	
46.249	10.78723	
46.760	10.85961	
47.270	10.80176	
47.781	10.85624	
48.291	10.83442	
48.802	10.80852	
49.312	10.76893	
49.822	10.80845	
50.333	10.84865	
50.843	10.82624	
51.354	10.81493	
51.864	10.82375	
52.375	10.84308	
52.885	10.88190	
53.396	10.82344	
53.906	10.80249	
54.417	10.82364	
54.927	10.82334	
55.438	10.81272	
55.948	10.80221	
56.459	10.84444	
56.969	10.83331	
57.480	10.82319	
57.990	10.82001	
58.501	10.83833	
59.011	10.82913	
59.522	10.82458	
60.032	10.84250	
60.542	10.90407	
61.053	10.81000	
61.563	10.80687	
62.074	10.78890	
62.584	10.88280	
63.095	10.87248	
63.605	10.90159	
64.116	10.86385	
64.626	10.80119	
65.137	10.84272	
65.647	10.81736	
66.158	10.83244	
66.668	10.85917	
67.179	10.83644	
67.689	10.81601	
68.200	10.79153	
68.710	10.80175	
69.221	10.82213	
69.731	10.79521	
70.242	10.85954	
70.752	10.82247	
71.262	10.80867	
71.773	10.81597	
72.283	10.85178	
72.794	10.81956	
73.304	10.80008	
73.815	10.81340	
74.325	10.86209	
74.836	10.79936	
75.346	10.82907	
75.857	10.84200	
76.367	10.89233	
76.878	10.88996	
77.388	10.81936	
77.899	10.81342	
78.409	10.83919	
78.920	10.79985	
79.430	10.80873	
79.941	10.89604	
80.451	10.88356	
80.962	10.82941	
81.472	10.85905	
81.982	10.79827	
82.493	10.86522	
83.003	10.85796	
83.514	10.79711	
84.024	10.79693	
84.535	10.78129	
85.045	10.80096	
85.556	10.81289	
86.066	10.79375	
86.577	10.77998	
87.087	10.81957	
87.598	10.77715	
88.108	10.70000	
88.619	10.71911	
89.129	10.80041	
89.640	10.73631	
90.150	11.11134	
90.661	10.93071	
91.171	10.76623	
91.682	10.78826	
92.192	10.78376	
92.702	10.79845	
93.213	10.80339	
93.723	10.91403	
94.234	10.80987	
94.744	10.79512	
95.255	10.82074	
95.765	10.87125	
96.276	10.79929	
96.786	10.85734	
97.297	10.85371	
97.807	10.85418	
98.318	10.83056	
98.828	10.87704	
99.339	10.82106	
99.849	10.84096	
100.360	10.84090	
100.870	10.86715	
101.381	10.86625	
101.891	10.81135	
102.402	10.84547	
102.912	10.89783	
103.422	10.71171	
103.933	10.76496	
104.443	10.70106	
104.954	11.10249	
105.464	11.38359	
105.975	11.40688	
106.485	11.26350	
106.996	10.70000	
107.506	11.82427	
108.017	11.89979	
108.527	11.53184	
109.038	10.88356	
109.548	11.14744	
110.059	10.85557	
110.569	11.25819	
111.080	10.89182	
111.590	10.96917	
112.101	10.78090	
112.611	11.34806	
113.122	11.50873	
113.632	11.26242	
114.142	10.70000	
114.653	11.35257	
