[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:17:45

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:13:46	
Measurement duration (s)	19.189	
File Name	2018_12_17_17_13_46_634	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.7000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82704	
0.817	10.81335	
1.327	10.80890	
1.838	10.82584	
2.348	10.81603	
2.859	10.81494	
3.369	10.80687	
3.880	10.82527	
4.390	10.82184	
4.901	10.79744	
5.411	10.83268	
5.922	10.82530	
6.432	10.80350	
6.942	10.86584	
7.453	10.83514	
7.963	10.85513	
8.474	10.81888	
8.984	10.80457	
9.495	10.83598	
10.005	10.80839	
10.516	10.80764	
11.026	10.81944	
11.537	10.78196	
12.047	10.82409	
12.558	10.80164	
13.068	10.82969	
13.579	10.83471	
14.089	10.82880	
14.600	10.80204	
15.110	10.81463	
15.621	10.78659	
16.131	10.84649	
16.642	10.80091	
17.152	10.81234	
17.662	10.94953	
18.173	10.86108	
18.683	10.81303	
19.194	10.79194	
19.704	10.83225	
20.215	10.81224	
20.725	10.84789	
21.236	10.82953	
21.746	10.79395	
22.257	10.81120	
22.767	10.96078	
23.278	10.86318	
23.788	10.83435	
24.299	10.85273	
24.809	10.81388	
25.320	10.86078	
25.830	10.79276	
26.341	10.88283	
26.851	10.77054	
27.362	10.80319	
27.872	10.85474	
28.382	10.82218	
28.893	10.83604	
29.403	10.79490	
29.914	10.82270	
30.424	10.79880	
30.935	10.80545	
31.445	10.86668	
31.956	10.81003	
32.466	10.93871	
32.977	10.83535	
33.487	10.78704	
33.998	10.79643	
34.508	10.86725	
35.019	10.76829	
35.529	10.79021	
36.040	10.84437	
36.550	10.84481	
37.061	10.81068	
37.571	10.85999	
38.082	10.79032	
38.592	10.80547	
39.102	10.82187	
39.613	10.79368	
40.123	10.78193	
40.634	10.77750	
41.144	10.76236	
41.655	10.86713	
42.165	10.77914	
42.676	10.77667	
43.186	10.84902	
43.697	10.83297	
44.207	10.81950	
44.718	10.83233	
45.228	10.80069	
45.739	10.88820	
46.249	10.87742	
46.760	10.83744	
47.270	10.80468	
47.781	10.86387	
48.291	10.80633	
48.802	10.81691	
49.312	10.77924	
49.822	10.83985	
50.333	10.84010	
50.843	10.81962	
51.354	10.83126	
51.864	10.79823	
52.375	10.82452	
52.885	10.81556	
53.396	10.82000	
53.906	10.82761	
54.417	10.80698	
54.927	10.80065	
55.438	10.79832	
55.948	10.79554	
56.459	10.81512	
56.969	10.81612	
57.480	10.80979	
57.990	10.86054	
58.501	10.82618	
59.011	10.81321	
59.522	10.83162	
60.032	10.82919	
60.542	10.79717	
61.053	10.82859	
61.563	10.86688	
62.074	10.96621	
62.584	10.82647	
63.095	10.85851	
63.605	10.80481	
64.116	10.86345	
64.626	10.83823	
65.137	10.80907	
65.647	10.83898	
66.158	10.88750	
66.668	10.79622	
67.179	10.81327	
67.689	10.82113	
68.200	10.81875	
68.710	10.84139	
69.221	10.79967	
69.731	10.80376	
70.242	10.78785	
70.752	10.83849	
71.262	10.84432	
71.773	10.80232	
72.283	10.82993	
72.794	10.89893	
73.304	10.82155	
73.815	10.83082	
74.325	10.83066	
74.836	10.83229	
75.346	10.86785	
75.857	10.90574	
76.367	10.81350	
76.878	10.82911	
77.388	10.82082	
77.899	10.81773	
78.409	10.70000	
78.920	10.80630	
79.430	10.86581	
79.941	10.80325	
80.451	10.83297	
80.962	10.78560	
81.472	10.84329	
81.982	10.80797	
82.493	10.92948	
83.003	10.81035	
83.514	10.80808	
84.024	10.79605	
84.535	10.83345	
85.045	10.78721	
85.556	10.76468	
86.066	10.81534	
86.577	10.76434	
87.087	10.79635	
87.598	10.78235	
88.108	10.78543	
88.619	10.75714	
89.129	10.99952	
89.640	10.97315	
90.150	11.27279	
90.661	10.82216	
91.171	10.82012	
91.682	10.85102	
92.192	10.81942	
92.702	10.77377	
93.213	10.79450	
93.723	10.77936	
94.234	10.81214	
94.744	10.85598	
95.255	10.79732	
95.765	10.82838	
96.276	10.81153	
96.786	10.70000	
97.297	10.96180	
97.807	10.91033	
98.318	10.78278	
98.828	10.89377	
99.339	10.84714	
99.849	10.92907	
100.360	10.92474	
100.870	10.80576	
101.381	10.81595	
101.891	10.88154	
102.402	10.81528	
102.912	10.80185	
103.422	10.81035	
103.933	10.76255	
104.443	10.84228	
104.954	10.77301	
105.464	10.76092	
105.975	10.74689	
106.485	11.03772	
106.996	10.70000	
107.506	10.77488	
108.017	10.83441	
108.527	11.12156	
109.038	10.79913	
109.548	10.96506	
110.059	11.35393	
110.569	11.42618	
111.080	11.14090	
111.590	11.12715	
112.101	11.45972	
112.611	11.13097	
113.122	11.33553	
113.632	10.89019	
114.142	11.52461	
114.653	11.37527	
