[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 16:23:10

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 16:16:23	
Measurement duration (s)	17.286	
File Name	2018_12_17_16_16_23_592	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82509	
0.817	10.81679	
1.327	10.83227	
1.838	10.82035	
2.348	10.85409	
2.859	10.82362	
3.369	10.82581	
3.880	10.81615	
4.390	10.84344	
4.901	10.90510	
5.411	10.84200	
5.922	10.80524	
6.432	10.80093	
6.942	10.87034	
7.453	10.84316	
7.963	10.82009	
8.474	10.87409	
8.984	10.81094	
9.495	10.85502	
10.005	10.81870	
10.516	10.79290	
11.026	10.84690	
11.537	10.84359	
12.047	10.86369	
12.558	10.85010	
13.068	10.82015	
13.579	10.78691	
14.089	10.81442	
14.600	10.84433	
15.110	10.87365	
15.621	10.85954	
16.131	10.82046	
16.642	10.82084	
17.152	10.78698	
17.662	10.85768	
18.173	10.82009	
18.683	10.84642	
19.194	10.79002	
19.704	10.93521	
20.215	10.81588	
20.725	10.83012	
21.236	10.83737	
21.746	10.78807	
22.257	10.87211	
22.767	10.85514	
23.278	10.81914	
23.788	10.79429	
24.299	10.82843	
24.809	10.84170	
25.320	10.81046	
25.830	10.84424	
26.341	10.83098	
26.851	10.85949	
27.362	10.78579	
27.872	10.81376	
28.382	10.82657	
28.893	10.82294	
29.403	10.82484	
29.914	10.83823	
30.424	10.82571	
30.935	10.70000	
31.445	10.80338	
31.956	10.80296	
32.466	10.83812	
32.977	10.87119	
33.487	10.84216	
33.998	10.88932	
34.508	10.80717	
35.019	10.80619	
35.529	10.83662	
36.040	10.85141	
36.550	10.82654	
37.061	10.89025	
37.571	10.82861	
38.082	10.80633	
38.592	10.90064	
39.102	10.80861	
39.613	10.81627	
40.123	10.84379	
40.634	10.83934	
41.144	10.84251	
41.655	10.85431	
42.165	10.86602	
42.676	10.80472	
43.186	10.82317	
43.697	10.80734	
44.207	10.82536	
44.718	10.83493	
45.228	10.88877	
45.739	10.70000	
46.249	10.86673	
46.760	10.84203	
47.270	10.78958	
47.781	10.81236	
48.291	10.84458	
48.802	10.85872	
49.312	10.84758	
49.822	10.80753	
50.333	10.84802	
50.843	10.83637	
51.354	10.81802	
51.864	10.80402	
52.375	10.81117	
52.885	10.82897	
53.396	10.81044	
53.906	10.84529	
54.417	10.79472	
54.927	10.82874	
55.438	10.81187	
55.948	10.81599	
56.459	10.81780	
56.969	10.80895	
57.480	10.78336	
57.990	10.80880	
58.501	10.85882	
59.011	10.83045	
59.522	10.82727	
60.032	10.82272	
60.542	10.82857	
61.053	10.82360	
61.563	10.83995	
62.074	10.85739	
62.584	10.80598	
63.095	10.79135	
63.605	10.88339	
64.116	10.84051	
64.626	10.81657	
65.137	10.84941	
65.647	10.87577	
66.158	10.82463	
66.668	10.80043	
67.179	10.86837	
67.689	10.82475	
68.200	10.82615	
68.710	10.80708	
69.221	10.83378	
69.731	10.83616	
70.242	10.82161	
70.752	10.82954	
71.262	10.82489	
71.773	10.82511	
72.283	10.81530	
72.794	10.79525	
73.304	10.80357	
73.815	10.84069	
74.325	10.79864	
74.836	10.80522	
75.346	10.85946	
75.857	10.84513	
76.367	10.87697	
76.878	10.82600	
77.388	10.87465	
77.899	10.83972	
78.409	10.81649	
78.920	10.82131	
79.430	10.82323	
79.941	10.82531	
80.451	10.82712	
80.962	10.82924	
81.472	10.86797	
81.982	10.78986	
82.493	10.87471	
83.003	10.83982	
83.514	10.78400	
84.024	10.79998	
84.535	10.84640	
85.045	10.80773	
85.556	10.80730	
86.066	10.80098	
86.577	10.80102	
87.087	10.79203	
87.598	10.81654	
88.108	10.83116	
88.619	10.79162	
89.129	10.87741	
89.640	10.90516	
90.150	10.94847	
90.661	10.77474	
91.171	10.86563	
91.682	10.86261	
92.192	10.85697	
92.702	10.87966	
93.213	10.83260	
93.723	10.82133	
94.234	10.88662	
94.744	10.81921	
95.255	10.83944	
95.765	10.78699	
96.276	10.81497	
96.786	10.87138	
97.297	10.86899	
97.807	10.84981	
98.318	10.82855	
98.828	10.86823	
99.339	10.84363	
99.849	10.80327	
100.360	10.80879	
100.870	10.80256	
101.381	10.84086	
101.891	10.90942	
102.402	10.81058	
102.912	10.86302	
103.422	10.80585	
103.933	10.81612	
104.443	10.92165	
104.954	10.77123	
105.464	11.08936	
105.975	10.94053	
106.485	10.80818	
106.996	11.53187	
107.506	10.74576	
108.017	11.44554	
108.527	10.91800	
109.038	11.15461	
109.548	10.70042	
110.059	11.35394	
110.569	10.90268	
111.080	10.99558	
111.590	10.74834	
112.101	11.33714	
112.611	11.01151	
113.122	10.70000	
113.632	11.20714	
114.142	11.18562	
114.653	11.06537	
