[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 16:22:36

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 16:13:27	
Measurement duration (s)	17.218	
File Name	2018_12_17_16_13_27_698	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81740	
0.817	10.81312	
1.327	10.81808	
1.838	10.82989	
2.348	10.80988	
2.859	10.81994	
3.369	10.83761	
3.880	10.83659	
4.390	10.84156	
4.901	10.87630	
5.411	10.79611	
5.922	10.80604	
6.432	10.82871	
6.942	10.81114	
7.453	10.79437	
7.963	10.82583	
8.474	10.82058	
8.984	10.82159	
9.495	10.83290	
10.005	10.78146	
10.516	10.83105	
11.026	10.82512	
11.537	10.81043	
12.047	10.83824	
12.558	10.81250	
13.068	10.84223	
13.579	10.81200	
14.089	10.79766	
14.600	10.79003	
15.110	10.88655	
15.621	10.83593	
16.131	10.91327	
16.642	10.82705	
17.152	10.81954	
17.662	10.84093	
18.173	10.70000	
18.683	10.85534	
19.194	10.80790	
19.704	10.80998	
20.215	10.78824	
20.725	10.80210	
21.236	10.81131	
21.746	10.82126	
22.257	10.82634	
22.767	10.85848	
23.278	10.82719	
23.788	10.88184	
24.299	10.87543	
24.809	10.84910	
25.320	10.91580	
25.830	10.81327	
26.341	10.84439	
26.851	10.79436	
27.362	10.79620	
27.872	10.78586	
28.382	10.83006	
28.893	10.81677	
29.403	10.76992	
29.914	10.86802	
30.424	10.80719	
30.935	10.82771	
31.445	10.82961	
31.956	10.87966	
32.466	10.81962	
32.977	10.83375	
33.487	10.81151	
33.998	10.81576	
34.508	10.82891	
35.019	10.75970	
35.529	10.88834	
36.040	10.84588	
36.550	10.81226	
37.061	10.79640	
37.571	10.88409	
38.082	10.80087	
38.592	10.77776	
39.102	10.79299	
39.613	10.80834	
40.123	10.79272	
40.634	10.80271	
41.144	10.83790	
41.655	10.87592	
42.165	10.88337	
42.676	10.82295	
43.186	10.79546	
43.697	10.83803	
44.207	10.77782	
44.718	10.82723	
45.228	10.77416	
45.739	10.80292	
46.249	10.81041	
46.760	10.80846	
47.270	10.78747	
47.781	10.83152	
48.291	10.82382	
48.802	10.84625	
49.312	10.82982	
49.822	10.85401	
50.333	10.81680	
50.843	10.82618	
51.354	10.83253	
51.864	10.80845	
52.375	10.80659	
52.885	10.81633	
53.396	10.87043	
53.906	10.84265	
54.417	10.82360	
54.927	10.82444	
55.438	10.82872	
55.948	10.82226	
56.459	10.85383	
56.969	10.80422	
57.480	10.79927	
57.990	10.86716	
58.501	10.79282	
59.011	10.80531	
59.522	10.83158	
60.032	10.78686	
60.542	10.82282	
61.053	10.82506	
61.563	10.81907	
62.074	10.84542	
62.584	10.97719	
63.095	10.81442	
63.605	10.83366	
64.116	10.84431	
64.626	10.78918	
65.137	10.79379	
65.647	10.87919	
66.158	10.97133	
66.668	10.80880	
67.179	10.84052	
67.689	10.86748	
68.200	10.82154	
68.710	10.82664	
69.221	10.78048	
69.731	10.85280	
70.242	10.92040	
70.752	10.82880	
71.262	10.80338	
71.773	10.79562	
72.283	10.80548	
72.794	10.79471	
73.304	10.82769	
73.815	10.78658	
74.325	10.86198	
74.836	10.80043	
75.346	10.84541	
75.857	10.84044	
76.367	10.86004	
76.878	10.83001	
77.388	10.82632	
77.899	10.83899	
78.409	10.82388	
78.920	10.79832	
79.430	10.84455	
79.941	10.79852	
80.451	10.82399	
80.962	10.81227	
81.472	10.83209	
81.982	10.82003	
82.493	10.80635	
83.003	10.81415	
83.514	10.83612	
84.024	10.77847	
84.535	10.79251	
85.045	10.86521	
85.556	10.78802	
86.066	10.76200	
86.577	10.97756	
87.087	10.79027	
87.598	10.79567	
88.108	10.77013	
88.619	10.76279	
89.129	10.78269	
89.640	10.83053	
90.150	10.93379	
90.661	10.77243	
91.171	10.79905	
91.682	10.78563	
92.192	10.79975	
92.702	10.80539	
93.213	10.73291	
93.723	10.79378	
94.234	10.84352	
94.744	10.85656	
95.255	10.79185	
95.765	10.85269	
96.276	10.82477	
96.786	10.92132	
97.297	10.88498	
97.807	10.85436	
98.318	10.81351	
98.828	10.83117	
99.339	10.81386	
99.849	10.88064	
100.360	10.81366	
100.870	10.85132	
101.381	10.79575	
101.891	10.84444	
102.402	10.75807	
102.912	10.79341	
103.422	10.76174	
103.933	10.76962	
104.443	10.78400	
104.954	10.75170	
105.464	10.77909	
105.975	10.70044	
106.485	10.74187	
106.996	11.48665	
107.506	10.95622	
108.017	10.92552	
108.527	11.22733	
109.038	11.03187	
109.548	11.34047	
110.059	10.94631	
110.569	10.82917	
111.080	11.09273	
111.590	10.94155	
112.101	11.30963	
112.611	11.41812	
113.122	10.76348	
113.632	11.07960	
114.142	10.84217	
114.653	10.92422	
