[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 16:22:09

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 16:11:02	
Measurement duration (s)	17.603	
File Name	2018_12_17_16_11_02_681	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81220	
0.817	10.82841	
1.327	10.80724	
1.838	10.81729	
2.348	10.80717	
2.859	10.82635	
3.369	10.83920	
3.880	10.82530	
4.390	10.83300	
4.901	10.80229	
5.411	10.82382	
5.922	10.82843	
6.432	10.80591	
6.942	10.82129	
7.453	10.85082	
7.963	10.84020	
8.474	10.83087	
8.984	10.83795	
9.495	10.82290	
10.005	10.81336	
10.516	10.83347	
11.026	10.78847	
11.537	10.86552	
12.047	10.83489	
12.558	10.81552	
13.068	10.81284	
13.579	10.80531	
14.089	10.82548	
14.600	10.80267	
15.110	10.85584	
15.621	10.80992	
16.131	10.82116	
16.642	10.83577	
17.152	10.83330	
17.662	10.78803	
18.173	10.80643	
18.683	10.76300	
19.194	10.81069	
19.704	10.83132	
20.215	10.84891	
20.725	10.80631	
21.236	10.81520	
21.746	10.83608	
22.257	10.80961	
22.767	10.82564	
23.278	10.80981	
23.788	10.80762	
24.299	10.80041	
24.809	10.80657	
25.320	10.81646	
25.830	10.81093	
26.341	10.80651	
26.851	10.82114	
27.362	10.80832	
27.872	10.79523	
28.382	10.83447	
28.893	10.84522	
29.403	10.81569	
29.914	10.81577	
30.424	10.77819	
30.935	10.79573	
31.445	10.85307	
31.956	10.86552	
32.466	10.90398	
32.977	10.80341	
33.487	10.81889	
33.998	10.83439	
34.508	10.81142	
35.019	10.79876	
35.529	10.93258	
36.040	10.83509	
36.550	10.83669	
37.061	10.82630	
37.571	10.79485	
38.082	10.80623	
38.592	10.90642	
39.102	10.84424	
39.613	10.80997	
40.123	10.80939	
40.634	10.80956	
41.144	10.82804	
41.655	10.81855	
42.165	10.81558	
42.676	10.89993	
43.186	10.86799	
43.697	10.80144	
44.207	10.82470	
44.718	10.84931	
45.228	10.81340	
45.739	10.92131	
46.249	10.83763	
46.760	10.81989	
47.270	10.86141	
47.781	10.84104	
48.291	10.80363	
48.802	10.80501	
49.312	10.82717	
49.822	10.80349	
50.333	10.80489	
50.843	10.83192	
51.354	10.83903	
51.864	10.82742	
52.375	10.84421	
52.885	10.82601	
53.396	10.80612	
53.906	10.85080	
54.417	10.86277	
54.927	10.83403	
55.438	10.81429	
55.948	10.82083	
56.459	10.80492	
56.969	10.87902	
57.480	10.85808	
57.990	10.80268	
58.501	10.84463	
59.011	10.76963	
59.522	10.82800	
60.032	10.81771	
60.542	10.82868	
61.053	10.84756	
61.563	10.78757	
62.074	10.80359	
62.584	10.83046	
63.095	10.82642	
63.605	10.82463	
64.116	10.82713	
64.626	10.82034	
65.137	10.82069	
65.647	10.83032	
66.158	10.83407	
66.668	10.80354	
67.179	10.83220	
67.689	10.80423	
68.200	10.81105	
68.710	10.84153	
69.221	10.86259	
69.731	10.80715	
70.242	10.84664	
70.752	10.85136	
71.262	10.85721	
71.773	10.84090	
72.283	10.84375	
72.794	10.82556	
73.304	10.90960	
73.815	10.80332	
74.325	10.81144	
74.836	10.80401	
75.346	10.85405	
75.857	10.80877	
76.367	10.81709	
76.878	10.84701	
77.388	10.81069	
77.899	10.79350	
78.409	10.87052	
78.920	10.90469	
79.430	10.82381	
79.941	10.83145	
80.451	10.81561	
80.962	10.84462	
81.472	10.80169	
81.982	10.89572	
82.493	10.81969	
83.003	10.79573	
83.514	10.83508	
84.024	10.85993	
84.535	10.83103	
85.045	10.77323	
85.556	10.79457	
86.066	10.70000	
86.577	10.75350	
87.087	10.79395	
87.598	10.77751	
88.108	10.77418	
88.619	10.76345	
89.129	10.96692	
89.640	10.95573	
90.150	10.96416	
90.661	10.95778	
91.171	10.81268	
91.682	10.78419	
92.192	10.87916	
92.702	10.84278	
93.213	10.81016	
93.723	10.83390	
94.234	10.81442	
94.744	10.79492	
95.255	10.81361	
95.765	10.80306	
96.276	10.84357	
96.786	10.84487	
97.297	10.83910	
97.807	10.81843	
98.318	10.99110	
98.828	10.81587	
99.339	10.84482	
99.849	10.86624	
100.360	10.87979	
100.870	10.79941	
101.381	10.87722	
101.891	10.80962	
102.402	10.81816	
102.912	10.93936	
103.422	10.78853	
103.933	10.76139	
104.443	10.81164	
104.954	10.72099	
105.464	10.74038	
105.975	10.71992	
106.485	10.75904	
106.996	11.53428	
107.506	11.38332	
108.017	11.31829	
108.527	10.70000	
109.038	10.80086	
109.548	11.19632	
110.059	11.09363	
110.569	10.85399	
111.080	11.15366	
111.590	11.49238	
112.101	11.14792	
112.611	10.74415	
113.122	10.70000	
113.632	11.31505	
114.142	10.79716	
114.653	10.87951	
