[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 16:22:23

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 16:12:14	
Measurement duration (s)	17.265	
File Name	2018_12_17_16_12_14_739	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82654	
0.817	10.83198	
1.327	10.81509	
1.838	10.81794	
2.348	10.82421	
2.859	10.84370	
3.369	10.83059	
3.880	10.82785	
4.390	10.82219	
4.901	10.83799	
5.411	10.82446	
5.922	10.83258	
6.432	10.81930	
6.942	10.81551	
7.453	10.79888	
7.963	10.80907	
8.474	10.88938	
8.984	10.81522	
9.495	10.83205	
10.005	10.81586	
10.516	10.81435	
11.026	10.82693	
11.537	10.82052	
12.047	10.81103	
12.558	10.80728	
13.068	10.81945	
13.579	10.82263	
14.089	10.80506	
14.600	10.81426	
15.110	10.82438	
15.621	10.84786	
16.131	10.85444	
16.642	10.84846	
17.152	10.83635	
17.662	10.82123	
18.173	10.83373	
18.683	10.83273	
19.194	10.82546	
19.704	10.79624	
20.215	10.83040	
20.725	10.81135	
21.236	10.82792	
21.746	10.80226	
22.257	10.82496	
22.767	10.83710	
23.278	10.82305	
23.788	10.84857	
24.299	10.82428	
24.809	10.77915	
25.320	10.80877	
25.830	10.81284	
26.341	10.80176	
26.851	10.82551	
27.362	10.80415	
27.872	10.85865	
28.382	10.80721	
28.893	10.88040	
29.403	10.80505	
29.914	10.77610	
30.424	10.80997	
30.935	10.83759	
31.445	10.84011	
31.956	10.86891	
32.466	10.83368	
32.977	10.82759	
33.487	10.83529	
33.998	10.83187	
34.508	10.87444	
35.019	10.84025	
35.529	10.85690	
36.040	10.81841	
36.550	10.83595	
37.061	10.78799	
37.571	10.82011	
38.082	10.83350	
38.592	10.83699	
39.102	10.80529	
39.613	10.83197	
40.123	10.81176	
40.634	10.82928	
41.144	10.84787	
41.655	10.84310	
42.165	10.81737	
42.676	10.81031	
43.186	10.79623	
43.697	10.85209	
44.207	10.82945	
44.718	10.81251	
45.228	10.83472	
45.739	10.83140	
46.249	10.84914	
46.760	10.81326	
47.270	10.83457	
47.781	10.88711	
48.291	10.82779	
48.802	10.85588	
49.312	10.83912	
49.822	10.84564	
50.333	10.84216	
50.843	10.84206	
51.354	10.83148	
51.864	10.80569	
52.375	10.82012	
52.885	10.85712	
53.396	10.83382	
53.906	10.80579	
54.417	10.80367	
54.927	10.80849	
55.438	10.81768	
55.948	10.81343	
56.459	10.81941	
56.969	10.84947	
57.480	10.84631	
57.990	10.82022	
58.501	10.81760	
59.011	10.79557	
59.522	10.83037	
60.032	10.80777	
60.542	10.83080	
61.053	10.84713	
61.563	10.85595	
62.074	10.89488	
62.584	10.89570	
63.095	10.82279	
63.605	10.82661	
64.116	10.80613	
64.626	10.78790	
65.137	10.86714	
65.647	10.83391	
66.158	10.88863	
66.668	10.82217	
67.179	10.81643	
67.689	10.85977	
68.200	10.83155	
68.710	10.83618	
69.221	10.80226	
69.731	10.83728	
70.242	10.79416	
70.752	10.89296	
71.262	10.85340	
71.773	10.83152	
72.283	10.85274	
72.794	10.82719	
73.304	10.85873	
73.815	10.85626	
74.325	10.83453	
74.836	10.83759	
75.346	10.84162	
75.857	10.85682	
76.367	10.84868	
76.878	10.79250	
77.388	10.82563	
77.899	10.81497	
78.409	10.85221	
78.920	10.86578	
79.430	10.83759	
79.941	10.82148	
80.451	10.87529	
80.962	10.82317	
81.472	10.74604	
81.982	10.80550	
82.493	10.83996	
83.003	10.80271	
83.514	10.78371	
84.024	10.82421	
84.535	10.82375	
85.045	10.81928	
85.556	10.74957	
86.066	10.80083	
86.577	10.76683	
87.087	10.75792	
87.598	10.78742	
88.108	10.78722	
88.619	10.80559	
89.129	10.78792	
89.640	10.97807	
90.150	10.83175	
90.661	10.80064	
91.171	10.86825	
91.682	10.85540	
92.192	10.94043	
92.702	10.82525	
93.213	10.80785	
93.723	10.78395	
94.234	10.81629	
94.744	10.80442	
95.255	10.88038	
95.765	10.85027	
96.276	10.88126	
96.786	10.82796	
97.297	10.84309	
97.807	10.88050	
98.318	10.83587	
98.828	10.82998	
99.339	10.85255	
99.849	10.83459	
100.360	10.80755	
100.870	10.82999	
101.381	10.80201	
101.891	10.86012	
102.402	10.81524	
102.912	10.83153	
103.422	10.79930	
103.933	10.74874	
104.443	10.75513	
104.954	10.70000	
105.464	10.72581	
105.975	10.74627	
106.485	10.77503	
106.996	10.70002	
107.506	10.76496	
108.017	10.84112	
108.527	11.01595	
109.038	11.13737	
109.548	10.77938	
110.059	10.94299	
110.569	10.99180	
111.080	10.79582	
111.590	11.34252	
112.101	11.25233	
112.611	10.91370	
113.122	11.38289	
113.632	10.70000	
114.142	11.20424	
114.653	11.16074	
