[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 16:21:44

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 16:08:50	
Measurement duration (s)	17.622	
File Name	2018_12_17_16_08_50_712	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81143	
0.817	10.83113	
1.327	10.81953	
1.838	10.82381	
2.348	10.81889	
2.859	10.82655	
3.369	10.79829	
3.880	10.83079	
4.390	10.79825	
4.901	10.82399	
5.411	10.80994	
5.922	10.80617	
6.432	10.81793	
6.942	10.83429	
7.453	10.81915	
7.963	10.82391	
8.474	10.85301	
8.984	10.81179	
9.495	10.84376	
10.005	10.80290	
10.516	10.82686	
11.026	10.83642	
11.537	10.86135	
12.047	10.83863	
12.558	10.85649	
13.068	10.82310	
13.579	10.82107	
14.089	10.83269	
14.600	10.86160	
15.110	10.81524	
15.621	10.85987	
16.131	10.83875	
16.642	10.80234	
17.152	10.80667	
17.662	10.86581	
18.173	10.81672	
18.683	10.80561	
19.194	10.81674	
19.704	10.70000	
20.215	10.79385	
20.725	10.78322	
21.236	10.79716	
21.746	10.81779	
22.257	10.81300	
22.767	10.77806	
23.278	10.79703	
23.788	10.81458	
24.299	10.84604	
24.809	10.77959	
25.320	10.88128	
25.830	10.83217	
26.341	10.82322	
26.851	10.78692	
27.362	10.82547	
27.872	10.78765	
28.382	10.81913	
28.893	10.81085	
29.403	10.81687	
29.914	10.81972	
30.424	10.83722	
30.935	10.82244	
31.445	10.89114	
31.956	10.83337	
32.466	10.84319	
32.977	10.85157	
33.487	10.80122	
33.998	10.79151	
34.508	10.82929	
35.019	10.84876	
35.529	10.88121	
36.040	10.81351	
36.550	10.79252	
37.061	10.81688	
37.571	10.81029	
38.082	10.83482	
38.592	10.79850	
39.102	10.80024	
39.613	10.80753	
40.123	10.80205	
40.634	10.70000	
41.144	10.82003	
41.655	10.85376	
42.165	10.82409	
42.676	10.80472	
43.186	10.80544	
43.697	10.70000	
44.207	10.81643	
44.718	10.80075	
45.228	10.85060	
45.739	10.87262	
46.249	10.80561	
46.760	10.78675	
47.270	10.76159	
47.781	10.79917	
48.291	10.83978	
48.802	10.78515	
49.312	10.82136	
49.822	10.82333	
50.333	10.83541	
50.843	10.82677	
51.354	10.79365	
51.864	10.79063	
52.375	10.78392	
52.885	10.81276	
53.396	10.80165	
53.906	10.81621	
54.417	10.80379	
54.927	10.80259	
55.438	10.82209	
55.948	10.81569	
56.459	10.82548	
56.969	10.86657	
57.480	10.81066	
57.990	10.80738	
58.501	10.81232	
59.011	10.79278	
59.522	10.80773	
60.032	10.84596	
60.542	10.90158	
61.053	10.79797	
61.563	10.78973	
62.074	10.87250	
62.584	10.81211	
63.095	10.80702	
63.605	10.82048	
64.116	10.77143	
64.626	10.87423	
65.137	10.80815	
65.647	10.78692	
66.158	10.83465	
66.668	10.77499	
67.179	10.85619	
67.689	10.82100	
68.200	10.79302	
68.710	10.81263	
69.221	10.79168	
69.731	10.84493	
70.242	10.83124	
70.752	10.82816	
71.262	10.84769	
71.773	10.77707	
72.283	10.81859	
72.794	10.85628	
73.304	10.78373	
73.815	10.78639	
74.325	10.79650	
74.836	10.79679	
75.346	10.80420	
75.857	10.70000	
76.367	10.88508	
76.878	10.82259	
77.388	10.80321	
77.899	10.82279	
78.409	10.80285	
78.920	10.85781	
79.430	10.82399	
79.941	10.81801	
80.451	10.80230	
80.962	10.78619	
81.472	10.77920	
81.982	10.84409	
82.493	10.81217	
83.003	10.83033	
83.514	10.81953	
84.024	10.83017	
84.535	10.80615	
85.045	10.79665	
85.556	10.79773	
86.066	10.76829	
86.577	10.74840	
87.087	10.78480	
87.598	10.78967	
88.108	10.80080	
88.619	10.78906	
89.129	10.70000	
89.640	10.92348	
90.150	10.94074	
90.661	10.77933	
91.171	10.92290	
91.682	10.79870	
92.192	10.81152	
92.702	10.83994	
93.213	10.88801	
93.723	10.85322	
94.234	10.81649	
94.744	10.85073	
95.255	10.81205	
95.765	10.79688	
96.276	10.79300	
96.786	10.81468	
97.297	10.93283	
97.807	10.84152	
98.318	10.79765	
98.828	11.01038	
99.339	10.88462	
99.849	10.77234	
100.360	10.92911	
100.870	10.92935	
101.381	10.81078	
101.891	10.79566	
102.402	10.80552	
102.912	10.79323	
103.422	10.77169	
103.933	10.70000	
104.443	10.72698	
104.954	10.78861	
105.464	10.75957	
105.975	10.74958	
106.485	10.73647	
106.996	11.49479	
107.506	10.74439	
108.017	11.15821	
108.527	11.27539	
109.038	11.29461	
109.548	11.49203	
110.059	10.99721	
110.569	11.09513	
111.080	11.24494	
111.590	10.90691	
112.101	11.12995	
112.611	11.07058	
113.122	11.49097	
113.632	11.14320	
114.142	11.02670	
114.653	10.70000	
