[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 16:23:03

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 16:15:50	
Measurement duration (s)	17.589	
File Name	2018_12_17_16_15_50_771	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81088	
0.817	10.80695	
1.327	10.80824	
1.838	10.81838	
2.348	10.82395	
2.859	10.82440	
3.369	10.82221	
3.880	10.82135	
4.390	10.83189	
4.901	10.82083	
5.411	10.81761	
5.922	10.82276	
6.432	10.80869	
6.942	10.80920	
7.453	10.82600	
7.963	10.78158	
8.474	10.84851	
8.984	10.83810	
9.495	10.86998	
10.005	10.81564	
10.516	10.81916	
11.026	10.81161	
11.537	10.80556	
12.047	10.81020	
12.558	10.82651	
13.068	10.88993	
13.579	10.82180	
14.089	10.79684	
14.600	10.83263	
15.110	10.85782	
15.621	10.83108	
16.131	10.77090	
16.642	10.85302	
17.152	10.83705	
17.662	10.90525	
18.173	10.78970	
18.683	10.80083	
19.194	10.82745	
19.704	10.84033	
20.215	10.81946	
20.725	10.85331	
21.236	10.92287	
21.746	10.86079	
22.257	10.81542	
22.767	10.77326	
23.278	10.83916	
23.788	10.89677	
24.299	10.89631	
24.809	10.85093	
25.320	10.81157	
25.830	10.80906	
26.341	10.81368	
26.851	10.84055	
27.362	10.81740	
27.872	10.79811	
28.382	10.86182	
28.893	10.87785	
29.403	10.79625	
29.914	10.81222	
30.424	10.84704	
30.935	10.83771	
31.445	10.86799	
31.956	10.75905	
32.466	10.80709	
32.977	10.84655	
33.487	10.85732	
33.998	10.79106	
34.508	10.81412	
35.019	10.99319	
35.529	10.75594	
36.040	10.88126	
36.550	10.82296	
37.061	10.88262	
37.571	10.81524	
38.082	10.81649	
38.592	10.81753	
39.102	10.89471	
39.613	10.82182	
40.123	10.80955	
40.634	10.82992	
41.144	10.83728	
41.655	10.82542	
42.165	10.81790	
42.676	10.81627	
43.186	10.81380	
43.697	10.82421	
44.207	10.82880	
44.718	10.80350	
45.228	10.86167	
45.739	10.81833	
46.249	10.83002	
46.760	10.86652	
47.270	10.83418	
47.781	10.82523	
48.291	10.82239	
48.802	10.82341	
49.312	10.80182	
49.822	10.79152	
50.333	10.82558	
50.843	10.82420	
51.354	10.81232	
51.864	10.80109	
52.375	10.81713	
52.885	10.81646	
53.396	10.83119	
53.906	10.80323	
54.417	10.81113	
54.927	10.82549	
55.438	10.81478	
55.948	10.82866	
56.459	10.82532	
56.969	10.90703	
57.480	10.82212	
57.990	10.82471	
58.501	10.80225	
59.011	10.80883	
59.522	10.82406	
60.032	10.78973	
60.542	10.80958	
61.053	10.84596	
61.563	10.81053	
62.074	10.98017	
62.584	10.81653	
63.095	10.82393	
63.605	10.81969	
64.116	10.85153	
64.626	10.80164	
65.137	10.83582	
65.647	10.82911	
66.158	10.87441	
66.668	10.83983	
67.179	10.80589	
67.689	10.82570	
68.200	10.82680	
68.710	10.80553	
69.221	10.80179	
69.731	10.80397	
70.242	10.85778	
70.752	10.84107	
71.262	10.83639	
71.773	10.83336	
72.283	10.81368	
72.794	10.82430	
73.304	10.83080	
73.815	10.80871	
74.325	10.86275	
74.836	10.83209	
75.346	10.81148	
75.857	10.79552	
76.367	10.82188	
76.878	10.87214	
77.388	10.78786	
77.899	10.79176	
78.409	10.82594	
78.920	10.79183	
79.430	10.80311	
79.941	10.80824	
80.451	10.81057	
80.962	10.82827	
81.472	10.80454	
81.982	10.79643	
82.493	10.79988	
83.003	10.82416	
83.514	10.82568	
84.024	10.83672	
84.535	10.79336	
85.045	10.87244	
85.556	10.85996	
86.066	10.78000	
86.577	10.77291	
87.087	10.78934	
87.598	10.70638	
88.108	10.77675	
88.619	10.80661	
89.129	10.81186	
89.640	10.99886	
90.150	11.13397	
90.661	10.89222	
91.171	10.82382	
91.682	10.82336	
92.192	10.80679	
92.702	10.78506	
93.213	10.83490	
93.723	10.78338	
94.234	10.83907	
94.744	10.84155	
95.255	10.82572	
95.765	10.92788	
96.276	10.86090	
96.786	10.82833	
97.297	10.84874	
97.807	10.82685	
98.318	10.84691	
98.828	10.84105	
99.339	10.87308	
99.849	10.84093	
100.360	10.87623	
100.870	11.00045	
101.381	10.84840	
101.891	10.81259	
102.402	10.78899	
102.912	10.83304	
103.422	10.77641	
103.933	10.77706	
104.443	10.75358	
104.954	10.73834	
105.464	10.74741	
105.975	10.77729	
106.485	10.71452	
106.996	10.70000	
107.506	10.76368	
108.017	10.98150	
108.527	11.30656	
109.038	11.26011	
109.548	11.25958	
110.059	10.98912	
110.569	11.30816	
111.080	11.39985	
111.590	11.39348	
112.101	11.34606	
112.611	11.34220	
113.122	11.09420	
113.632	11.01596	
114.142	11.29393	
114.653	10.74264	
