[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 15:59:37

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 15:53:30	
Measurement duration (s)	17.269	
File Name	2018_12_17_15_53_30_172	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81447	
0.817	10.80959	
1.327	10.81605	
1.838	10.81618	
2.348	10.82274	
2.859	10.83410	
3.369	10.83249	
3.880	10.83566	
4.390	10.82821	
4.901	10.83354	
5.411	10.82036	
5.922	10.79576	
6.432	10.79241	
6.942	10.81007	
7.453	10.80385	
7.963	10.80536	
8.474	10.83337	
8.984	10.80598	
9.495	10.85887	
10.005	10.86624	
10.516	10.88349	
11.026	10.86806	
11.537	10.82163	
12.047	10.81775	
12.558	10.80287	
13.068	10.82069	
13.579	10.85067	
14.089	10.83504	
14.600	10.83929	
15.110	10.84066	
15.621	10.81668	
16.131	10.84509	
16.642	10.86263	
17.152	10.84105	
17.662	10.83297	
18.173	10.81307	
18.683	10.81481	
19.194	10.82257	
19.704	10.90706	
20.215	10.82308	
20.725	10.79844	
21.236	10.81720	
21.746	10.81125	
22.257	10.82264	
22.767	10.80250	
23.278	10.82988	
23.788	10.78802	
24.299	10.83916	
24.809	10.82549	
25.320	10.81321	
25.830	10.82382	
26.341	10.82444	
26.851	10.82449	
27.362	10.86396	
27.872	10.83745	
28.382	10.85480	
28.893	10.86189	
29.403	10.85113	
29.914	10.80299	
30.424	10.80462	
30.935	10.82541	
31.445	10.79581	
31.956	10.80950	
32.466	10.94889	
32.977	10.90517	
33.487	10.80228	
33.998	10.81571	
34.508	10.84619	
35.019	10.81286	
35.529	10.79232	
36.040	10.82228	
36.550	10.87685	
37.061	10.81362	
37.571	10.84542	
38.082	10.81584	
38.592	10.80369	
39.102	10.99500	
39.613	10.80261	
40.123	10.81949	
40.634	10.83189	
41.144	10.83285	
41.655	10.83646	
42.165	10.80648	
42.676	10.83660	
43.186	10.81240	
43.697	10.83155	
44.207	10.83146	
44.718	10.78845	
45.228	10.83093	
45.739	10.79894	
46.249	10.83010	
46.760	10.77928	
47.270	10.76691	
47.781	10.80356	
48.291	10.82992	
48.802	10.83497	
49.312	10.80934	
49.822	10.82157	
50.333	10.84190	
50.843	10.84359	
51.354	10.77980	
51.864	10.86465	
52.375	10.81586	
52.885	10.82183	
53.396	10.82119	
53.906	10.79682	
54.417	10.84226	
54.927	10.80162	
55.438	10.81676	
55.948	10.80534	
56.459	10.83404	
56.969	10.81562	
57.480	10.86947	
57.990	10.85773	
58.501	10.82438	
59.011	10.80559	
59.522	10.78779	
60.032	10.83217	
60.542	10.86329	
61.053	10.82898	
61.563	10.79037	
62.074	10.92054	
62.584	10.87327	
63.095	10.83928	
63.605	10.78851	
64.116	10.82547	
64.626	10.78336	
65.137	10.88352	
65.647	10.86874	
66.158	10.84798	
66.668	10.81751	
67.179	10.81884	
67.689	10.81417	
68.200	10.81714	
68.710	10.81473	
69.221	10.83552	
69.731	10.78981	
70.242	10.80339	
70.752	10.81571	
71.262	10.86988	
71.773	10.81247	
72.283	10.82212	
72.794	10.87855	
73.304	10.83035	
73.815	10.83301	
74.325	10.78957	
74.836	10.84183	
75.346	10.81981	
75.857	10.80097	
76.367	10.85993	
76.878	10.82204	
77.388	10.85509	
77.899	10.81649	
78.409	10.84647	
78.920	10.79199	
79.430	10.79870	
79.941	10.82730	
80.451	10.86990	
80.962	10.82205	
81.472	10.89863	
81.982	10.80546	
82.493	10.84424	
83.003	10.82290	
83.514	10.85151	
84.024	10.81413	
84.535	10.76922	
85.045	10.77022	
85.556	10.78308	
86.066	10.78212	
86.577	10.78822	
87.087	10.74117	
87.598	10.80348	
88.108	10.78473	
88.619	10.78883	
89.129	10.77280	
89.640	10.89957	
90.150	10.96990	
90.661	10.85086	
91.171	10.86516	
91.682	10.70000	
92.192	10.83608	
92.702	10.85925	
93.213	10.96206	
93.723	10.97520	
94.234	10.80527	
94.744	10.79653	
95.255	10.77917	
95.765	10.83414	
96.276	10.83520	
96.786	10.81845	
97.297	10.83044	
97.807	10.82445	
98.318	10.78224	
98.828	10.79589	
99.339	10.80410	
99.849	10.85800	
100.360	10.82305	
100.870	10.84146	
101.381	10.85500	
101.891	10.86403	
102.402	10.82533	
102.912	11.00416	
103.422	10.83120	
103.933	10.79418	
104.443	10.78455	
104.954	10.81046	
105.464	11.01691	
105.975	10.88190	
106.485	10.70890	
106.996	11.44555	
107.506	10.98100	
108.017	11.29408	
108.527	10.73272	
109.038	11.14070	
109.548	11.02619	
110.059	11.21147	
110.569	11.32960	
111.080	10.79122	
111.590	10.89233	
112.101	10.80369	
112.611	10.74639	
113.122	11.48134	
113.632	11.13383	
114.142	10.71091	
114.653	11.35717	
