[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 15:57:58

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 15:46:29	
Measurement duration (s)	17.324	
File Name	2018_12_17_15_46_29_798	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82433	
0.817	10.80506	
1.327	10.81399	
1.838	10.81910	
2.348	10.82276	
2.859	10.81082	
3.369	10.80202	
3.880	10.82405	
4.390	10.80313	
4.901	10.83793	
5.411	10.83089	
5.922	10.81291	
6.432	10.82050	
6.942	10.81760	
7.453	10.81818	
7.963	10.82534	
8.474	10.82217	
8.984	10.83697	
9.495	10.89098	
10.005	10.82144	
10.516	10.82541	
11.026	10.81905	
11.537	10.83913	
12.047	10.84791	
12.558	10.78647	
13.068	10.83764	
13.579	10.83234	
14.089	10.91983	
14.600	10.82437	
15.110	10.86727	
15.621	10.82496	
16.131	10.87798	
16.642	10.80174	
17.152	10.80772	
17.662	10.82324	
18.173	10.78697	
18.683	10.85309	
19.194	10.79745	
19.704	10.81953	
20.215	10.83854	
20.725	10.83053	
21.236	10.80131	
21.746	10.81719	
22.257	10.80764	
22.767	10.83412	
23.278	10.81295	
23.788	10.82042	
24.299	10.91565	
24.809	10.83674	
25.320	10.79887	
25.830	10.82473	
26.341	10.79584	
26.851	10.77989	
27.362	10.79066	
27.872	10.82903	
28.382	10.81026	
28.893	10.85021	
29.403	10.80977	
29.914	10.84364	
30.424	10.82052	
30.935	10.81094	
31.445	10.89065	
31.956	10.87097	
32.466	10.87436	
32.977	10.78414	
33.487	10.89588	
33.998	10.82429	
34.508	10.85296	
35.019	10.84445	
35.529	10.83392	
36.040	10.82685	
36.550	10.81754	
37.061	10.82076	
37.571	10.81162	
38.082	10.88831	
38.592	10.90305	
39.102	10.80162	
39.613	10.84113	
40.123	10.77586	
40.634	10.90418	
41.144	10.83722	
41.655	10.84354	
42.165	10.82681	
42.676	10.83336	
43.186	10.86389	
43.697	10.81069	
44.207	10.70000	
44.718	10.82126	
45.228	10.79375	
45.739	10.81926	
46.249	10.83920	
46.760	10.84472	
47.270	10.80606	
47.781	10.84713	
48.291	10.82939	
48.802	10.85679	
49.312	10.84205	
49.822	10.84932	
50.333	10.79100	
50.843	10.81943	
51.354	10.80639	
51.864	10.84599	
52.375	10.84048	
52.885	10.85844	
53.396	10.83837	
53.906	10.85165	
54.417	10.80681	
54.927	10.80695	
55.438	10.86131	
55.948	10.80741	
56.459	10.80453	
56.969	10.83102	
57.480	10.81883	
57.990	10.85263	
58.501	10.80545	
59.011	10.83497	
59.522	10.80712	
60.032	10.83254	
60.542	10.83574	
61.053	10.78120	
61.563	10.79303	
62.074	10.86322	
62.584	10.82141	
63.095	10.86523	
63.605	10.80790	
64.116	10.83932	
64.626	10.91769	
65.137	10.77678	
65.647	10.84349	
66.158	10.92332	
66.668	10.77629	
67.179	10.90069	
67.689	10.79802	
68.200	10.81955	
68.710	10.86427	
69.221	10.78106	
69.731	10.82415	
70.242	10.81337	
70.752	10.81546	
71.262	10.82799	
71.773	10.79567	
72.283	10.85186	
72.794	10.80735	
73.304	10.81385	
73.815	10.78006	
74.325	10.83182	
74.836	10.83502	
75.346	10.79705	
75.857	10.82813	
76.367	10.82200	
76.878	10.80434	
77.388	10.84015	
77.899	10.81561	
78.409	10.96735	
78.920	10.80438	
79.430	10.81592	
79.941	10.87400	
80.451	10.84012	
80.962	10.79709	
81.472	10.83413	
81.982	10.82524	
82.493	10.78860	
83.003	10.81815	
83.514	10.79546	
84.024	10.80608	
84.535	10.79459	
85.045	10.74565	
85.556	10.76126	
86.066	10.76219	
86.577	10.77663	
87.087	10.76356	
87.598	10.78598	
88.108	10.77956	
88.619	10.78303	
89.129	10.85685	
89.640	10.81435	
90.150	10.87118	
90.661	10.95920	
91.171	10.84849	
91.682	10.84024	
92.192	10.85616	
92.702	10.88784	
93.213	10.81245	
93.723	10.84298	
94.234	10.89629	
94.744	10.78829	
95.255	10.80190	
95.765	10.77363	
96.276	10.77175	
96.786	10.70000	
97.297	10.78899	
97.807	10.88050	
98.318	10.89178	
98.828	10.79520	
99.339	10.78320	
99.849	10.77925	
100.360	10.77811	
100.870	10.83519	
101.381	10.82602	
101.891	10.78471	
102.402	10.79727	
102.912	10.89986	
103.422	10.82227	
103.933	10.85588	
104.443	10.79805	
104.954	10.83759	
105.464	10.76231	
105.975	10.83963	
106.485	10.86606	
106.996	10.70000	
107.506	11.19710	
108.017	11.02060	
108.527	11.47305	
109.038	11.20561	
109.548	10.81428	
110.059	11.12281	
110.569	11.03760	
111.080	11.15233	
111.590	10.98716	
112.101	11.12510	
112.611	10.99617	
113.122	10.70000	
113.632	10.95215	
114.142	11.19078	
114.653	11.34508	
