[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 15:57:38

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 15:45:24	
Measurement duration (s)	17.250	
File Name	2018_12_17_15_45_24_723	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.80797	
0.817	10.81334	
1.327	10.81483	
1.838	10.81729	
2.348	10.80420	
2.859	10.82003	
3.369	10.82251	
3.880	10.84616	
4.390	10.82298	
4.901	10.81374	
5.411	10.80254	
5.922	10.80605	
6.432	10.84548	
6.942	10.81405	
7.453	10.79189	
7.963	10.81038	
8.474	10.81911	
8.984	10.80433	
9.495	10.80356	
10.005	10.80660	
10.516	10.78620	
11.026	10.84246	
11.537	10.80167	
12.047	10.83869	
12.558	10.79865	
13.068	10.79521	
13.579	10.82954	
14.089	10.87652	
14.600	10.79697	
15.110	10.78566	
15.621	10.83911	
16.131	10.80838	
16.642	10.80466	
17.152	10.85917	
17.662	10.79155	
18.173	10.80742	
18.683	10.82744	
19.194	10.79335	
19.704	10.82396	
20.215	10.83970	
20.725	10.80007	
21.236	10.83032	
21.746	10.80422	
22.257	10.82542	
22.767	10.82497	
23.278	10.82701	
23.788	10.83851	
24.299	10.83379	
24.809	10.70000	
25.320	10.81794	
25.830	10.81206	
26.341	10.83018	
26.851	10.90106	
27.362	10.82283	
27.872	10.82722	
28.382	10.83621	
28.893	10.81152	
29.403	10.79349	
29.914	10.81022	
30.424	10.79130	
30.935	10.83910	
31.445	10.85127	
31.956	10.81705	
32.466	10.82301	
32.977	10.81718	
33.487	10.79715	
33.998	10.82167	
34.508	10.80459	
35.019	10.92113	
35.529	10.84038	
36.040	10.82335	
36.550	10.85874	
37.061	10.83769	
37.571	10.80889	
38.082	10.81557	
38.592	10.82205	
39.102	10.83532	
39.613	10.81498	
40.123	10.84721	
40.634	10.85330	
41.144	10.84317	
41.655	10.84569	
42.165	10.85439	
42.676	10.81752	
43.186	10.78984	
43.697	10.81144	
44.207	10.94567	
44.718	10.70000	
45.228	10.82069	
45.739	10.86153	
46.249	10.80338	
46.760	10.82677	
47.270	10.82036	
47.781	10.83995	
48.291	10.79865	
48.802	10.79932	
49.312	10.84162	
49.822	10.82193	
50.333	10.84561	
50.843	10.83510	
51.354	10.80146	
51.864	10.81301	
52.375	10.80242	
52.885	10.82985	
53.396	10.82993	
53.906	10.84530	
54.417	10.83371	
54.927	10.84349	
55.438	10.81750	
55.948	10.95673	
56.459	10.82615	
56.969	10.81647	
57.480	10.82930	
57.990	10.81660	
58.501	10.82191	
59.011	10.82711	
59.522	10.81491	
60.032	10.83182	
60.542	10.83415	
61.053	10.81519	
61.563	10.83026	
62.074	10.79280	
62.584	10.80513	
63.095	10.82878	
63.605	10.82826	
64.116	10.80326	
64.626	10.81292	
65.137	10.82974	
65.647	10.84901	
66.158	10.78226	
66.668	10.78868	
67.179	10.80810	
67.689	10.80124	
68.200	10.70000	
68.710	10.81190	
69.221	10.82649	
69.731	10.83525	
70.242	10.81251	
70.752	10.81425	
71.262	10.79836	
71.773	10.80585	
72.283	10.88630	
72.794	10.82699	
73.304	10.83572	
73.815	10.79530	
74.325	10.80227	
74.836	10.81138	
75.346	10.82470	
75.857	10.82618	
76.367	10.85520	
76.878	10.82519	
77.388	10.81560	
77.899	10.80987	
78.409	10.86235	
78.920	10.77983	
79.430	10.82150	
79.941	10.84768	
80.451	10.81321	
80.962	10.85763	
81.472	10.82118	
81.982	10.79079	
82.493	10.85465	
83.003	10.81961	
83.514	10.83582	
84.024	10.81971	
84.535	10.82858	
85.045	10.82216	
85.556	10.82577	
86.066	10.78556	
86.577	10.80855	
87.087	10.80897	
87.598	10.79412	
88.108	10.78921	
88.619	10.81701	
89.129	10.76684	
89.640	10.92849	
90.150	10.77751	
90.661	10.87298	
91.171	10.86408	
91.682	10.78410	
92.192	10.80215	
92.702	10.80145	
93.213	10.82190	
93.723	10.80750	
94.234	10.78306	
94.744	10.84652	
95.255	10.83267	
95.765	10.71861	
96.276	10.77418	
96.786	10.88326	
97.297	10.82694	
97.807	10.85327	
98.318	10.85376	
98.828	10.82734	
99.339	10.82373	
99.849	10.83401	
100.360	10.79123	
100.870	10.80120	
101.381	10.81608	
101.891	10.83237	
102.402	10.81088	
102.912	10.82853	
103.422	10.84189	
103.933	10.78505	
104.443	10.81048	
104.954	10.82170	
105.464	10.88407	
105.975	10.70000	
106.485	11.15079	
106.996	11.48306	
107.506	11.12077	
108.017	10.84261	
108.527	10.82917	
109.038	10.95847	
109.548	10.96058	
110.059	10.70247	
110.569	11.26703	
111.080	11.30698	
111.590	10.70000	
112.101	11.26691	
112.611	10.80980	
113.122	10.70000	
113.632	10.84505	
114.142	11.22998	
114.653	10.76615	
