[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 15:58:13

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 15:47:46	
Measurement duration (s)	17.238	
File Name	2018_12_17_15_47_46_302	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81195	
0.817	10.82924	
1.327	10.81505	
1.838	10.82227	
2.348	10.83199	
2.859	10.80719	
3.369	10.81349	
3.880	10.81428	
4.390	10.84025	
4.901	10.85394	
5.411	10.83059	
5.922	10.81950	
6.432	10.80603	
6.942	10.86049	
7.453	10.86161	
7.963	10.79830	
8.474	10.84467	
8.984	10.83071	
9.495	10.82242	
10.005	10.84342	
10.516	10.79161	
11.026	10.81565	
11.537	10.82176	
12.047	10.89902	
12.558	10.80657	
13.068	10.77935	
13.579	10.87025	
14.089	10.79824	
14.600	10.78709	
15.110	10.83509	
15.621	10.81485	
16.131	10.82068	
16.642	10.82323	
17.152	10.81812	
17.662	10.80675	
18.173	10.85300	
18.683	10.82980	
19.194	10.80656	
19.704	10.81786	
20.215	10.84047	
20.725	10.82798	
21.236	10.86841	
21.746	10.79384	
22.257	10.83139	
22.767	10.88221	
23.278	10.85755	
23.788	10.80888	
24.299	10.82276	
24.809	10.86906	
25.320	10.82703	
25.830	10.80319	
26.341	10.84520	
26.851	10.85169	
27.362	10.79923	
27.872	10.83421	
28.382	10.81797	
28.893	10.80117	
29.403	10.84136	
29.914	10.83022	
30.424	10.82418	
30.935	10.84806	
31.445	10.90827	
31.956	10.80558	
32.466	10.83323	
32.977	10.85854	
33.487	10.80766	
33.998	10.82188	
34.508	10.92398	
35.019	10.80665	
35.529	10.81576	
36.040	10.83151	
36.550	10.83294	
37.061	10.85481	
37.571	10.88317	
38.082	10.79679	
38.592	10.88948	
39.102	10.85159	
39.613	10.81353	
40.123	10.80364	
40.634	10.84605	
41.144	10.82527	
41.655	10.84555	
42.165	10.80804	
42.676	10.83377	
43.186	10.80731	
43.697	10.81150	
44.207	10.84995	
44.718	10.91805	
45.228	10.89129	
45.739	10.87352	
46.249	10.82254	
46.760	10.83657	
47.270	10.81541	
47.781	10.84606	
48.291	10.81497	
48.802	10.87152	
49.312	10.81266	
49.822	10.80938	
50.333	10.84534	
50.843	10.82464	
51.354	10.78326	
51.864	10.81236	
52.375	10.81649	
52.885	10.80750	
53.396	10.82541	
53.906	10.81625	
54.417	10.80895	
54.927	10.83250	
55.438	10.81265	
55.948	10.82421	
56.459	10.79973	
56.969	10.87585	
57.480	10.80675	
57.990	10.80752	
58.501	10.81849	
59.011	10.85682	
59.522	10.78878	
60.032	10.85838	
60.542	10.76989	
61.053	10.99294	
61.563	10.82616	
62.074	10.86878	
62.584	10.83336	
63.095	10.85818	
63.605	10.82145	
64.116	10.84007	
64.626	10.76587	
65.137	10.80024	
65.647	10.83293	
66.158	10.80531	
66.668	10.79583	
67.179	10.79018	
67.689	10.79869	
68.200	10.77501	
68.710	10.80024	
69.221	10.85776	
69.731	10.81217	
70.242	10.81587	
70.752	10.77924	
71.262	10.81737	
71.773	10.86250	
72.283	10.80022	
72.794	10.84870	
73.304	10.81328	
73.815	10.78784	
74.325	10.82721	
74.836	10.81280	
75.346	10.84073	
75.857	10.87520	
76.367	10.87413	
76.878	10.84757	
77.388	10.83322	
77.899	10.91858	
78.409	10.79298	
78.920	10.82686	
79.430	10.84822	
79.941	10.86853	
80.451	10.86742	
80.962	10.81388	
81.472	10.90420	
81.982	10.84270	
82.493	10.81490	
83.003	10.84000	
83.514	10.86441	
84.024	10.86308	
84.535	10.82118	
85.045	10.79699	
85.556	10.76672	
86.066	10.77366	
86.577	10.80138	
87.087	10.80514	
87.598	10.76302	
88.108	10.79252	
88.619	10.77973	
89.129	10.91416	
89.640	10.87936	
90.150	10.91826	
90.661	10.92616	
91.171	10.82157	
91.682	10.82204	
92.192	10.84318	
92.702	10.88642	
93.213	10.79170	
93.723	10.88745	
94.234	10.89979	
94.744	10.81933	
95.255	10.81989	
95.765	10.83840	
96.276	10.84580	
96.786	10.84325	
97.297	10.82630	
97.807	10.92760	
98.318	10.80560	
98.828	10.95491	
99.339	10.88117	
99.849	10.84645	
100.360	10.83561	
100.870	10.84917	
101.381	10.83219	
101.891	10.88101	
102.402	10.84561	
102.912	10.90292	
103.422	10.84022	
103.933	10.70000	
104.443	10.81017	
104.954	10.77620	
105.464	10.75432	
105.975	11.07508	
106.485	11.10066	
106.996	11.50716	
107.506	11.20842	
108.017	10.86706	
108.527	10.91145	
109.038	11.40735	
109.548	10.93114	
110.059	11.37059	
110.569	10.73256	
111.080	10.82031	
111.590	11.03442	
112.101	11.39599	
112.611	10.97065	
113.122	11.23827	
113.632	11.17002	
114.142	11.32076	
114.653	11.13334	
