[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 18:27:27

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 18:14:20	
Measurement duration (s)	28.711	
File Name	2018_12_17_18_14_20_669	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.2000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81903	
0.817	10.81388	
1.327	10.81144	
1.838	10.80825	
2.348	10.81301	
2.859	10.81591	
3.369	10.82480	
3.880	10.82103	
4.390	10.79966	
4.901	10.82384	
5.411	10.79477	
5.922	10.79974	
6.432	10.79924	
6.942	10.79859	
7.453	10.80187	
7.963	10.81310	
8.474	10.80192	
8.984	10.81365	
9.495	10.75899	
10.005	10.82175	
10.516	10.80704	
11.026	10.85581	
11.537	10.85153	
12.047	10.83907	
12.558	10.80946	
13.068	10.82943	
13.579	10.76095	
14.089	10.81919	
14.600	10.86441	
15.110	10.81919	
15.621	10.83061	
16.131	10.79846	
16.642	10.82958	
17.152	10.80919	
17.662	10.81237	
18.173	10.79460	
18.683	10.79421	
19.194	10.80561	
19.704	10.79440	
20.215	10.79539	
20.725	10.81309	
21.236	10.87560	
21.746	10.81847	
22.257	10.80370	
22.767	10.83000	
23.278	10.90191	
23.788	10.81439	
24.299	10.83092	
24.809	10.83690	
25.320	10.84085	
25.830	10.90503	
26.341	10.79707	
26.851	10.85780	
27.362	10.80071	
27.872	10.81903	
28.382	10.86331	
28.893	10.91347	
29.403	10.79386	
29.914	10.99315	
30.424	10.73882	
30.935	10.80956	
31.445	10.97285	
31.956	10.77018	
32.466	10.77781	
32.977	10.80395	
33.487	10.82284	
33.998	10.80821	
34.508	10.96977	
35.019	10.81926	
35.529	10.79384	
36.040	10.82440	
36.550	10.79649	
37.061	10.80750	
37.571	10.89460	
38.082	10.85492	
38.592	10.86218	
39.102	10.79337	
39.613	10.84845	
40.123	10.81777	
40.634	10.81410	
41.144	10.77044	
41.655	10.89525	
42.165	10.78894	
42.676	10.80424	
43.186	10.86893	
43.697	10.83617	
44.207	10.87298	
44.718	10.77534	
45.228	10.83682	
45.739	10.78968	
46.249	10.79118	
46.760	10.82419	
47.270	10.82747	
47.781	10.89059	
48.291	10.80103	
48.802	10.82114	
49.312	10.77840	
49.822	10.79918	
50.333	10.82289	
50.843	10.85353	
51.354	10.83088	
51.864	10.81290	
52.375	10.83518	
52.885	10.82275	
53.396	10.82680	
53.906	10.79902	
54.417	10.77120	
54.927	10.79533	
55.438	10.81229	
55.948	10.83227	
56.459	10.82421	
56.969	10.80838	
57.480	10.81013	
57.990	10.79436	
58.501	10.85682	
59.011	10.81088	
59.522	10.79853	
60.032	10.81003	
60.542	10.81220	
61.053	10.83365	
61.563	10.79901	
62.074	10.85218	
62.584	10.89050	
63.095	10.81812	
63.605	10.73867	
64.116	10.79138	
64.626	10.81175	
65.137	10.87667	
65.647	10.81925	
66.158	10.76894	
66.668	10.81735	
67.179	10.78832	
67.689	10.81290	
68.200	10.81495	
68.710	10.84292	
69.221	10.82627	
69.731	10.91426	
70.242	10.84925	
70.752	10.86459	
71.262	10.80010	
71.773	10.78371	
72.283	10.93023	
72.794	10.86836	
73.304	10.87633	
73.815	10.83106	
74.325	10.77982	
74.836	10.81412	
75.346	10.82292	
75.857	10.80543	
76.367	10.78112	
76.878	10.81232	
77.388	10.80592	
77.899	10.82142	
78.409	10.87428	
78.920	10.82702	
79.430	10.79957	
79.941	10.87073	
80.451	10.80108	
80.962	10.84093	
81.472	10.81601	
81.982	10.79396	
82.493	10.80922	
83.003	10.80733	
83.514	10.82240	
84.024	10.79106	
84.535	10.78239	
85.045	10.78653	
85.556	10.76058	
86.066	10.76322	
86.577	10.76570	
87.087	10.79378	
87.598	10.76934	
88.108	10.78466	
88.619	10.76184	
89.129	10.71991	
89.640	10.75224	
90.150	11.01655	
90.661	10.79255	
91.171	10.82532	
91.682	10.86928	
92.192	10.77278	
92.702	10.78786	
93.213	10.78217	
93.723	10.83517	
94.234	10.88227	
94.744	10.80264	
95.255	10.82413	
95.765	10.80271	
96.276	10.83144	
96.786	10.85423	
97.297	10.91998	
97.807	10.85881	
98.318	10.83632	
98.828	10.89905	
99.339	10.91246	
99.849	10.78322	
100.360	10.77432	
100.870	10.85657	
101.381	10.84787	
101.891	10.82499	
102.402	10.99657	
102.912	10.83044	
103.422	10.80013	
103.933	10.80101	
104.443	10.76986	
104.954	10.75658	
105.464	10.79120	
105.975	10.70000	
106.485	11.98234	
106.996	10.70000	
107.506	10.76766	
108.017	10.95227	
108.527	11.79739	
109.038	10.78042	
109.548	11.27697	
110.059	11.59432	
110.569	11.84884	
111.080	10.87544	
111.590	11.53852	
112.101	11.79377	
112.611	11.20228	
113.122	11.64648	
113.632	11.79042	
114.142	10.92121	
114.653	11.10554	
