[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 18:26:52

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 18:09:36	
Measurement duration (s)	28.716	
File Name	2018_12_17_18_09_36_169	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.2000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.80731	
0.817	10.80274	
1.327	10.81225	
1.838	10.80773	
2.348	10.81336	
2.859	10.83676	
3.369	10.83620	
3.880	10.80752	
4.390	10.82289	
4.901	10.81281	
5.411	10.82146	
5.922	10.78980	
6.432	10.81272	
6.942	10.82983	
7.453	10.81700	
7.963	10.78655	
8.474	10.83665	
8.984	10.81394	
9.495	10.82918	
10.005	10.81464	
10.516	10.82846	
11.026	10.85595	
11.537	10.81236	
12.047	10.80490	
12.558	10.81226	
13.068	10.82938	
13.579	10.83496	
14.089	10.81425	
14.600	10.81975	
15.110	10.82816	
15.621	10.80540	
16.131	10.79633	
16.642	10.84061	
17.152	10.87855	
17.662	10.82268	
18.173	10.80845	
18.683	10.80766	
19.194	10.80292	
19.704	10.81201	
20.215	10.81652	
20.725	10.82221	
21.236	10.86475	
21.746	10.84951	
22.257	10.84298	
22.767	10.83217	
23.278	10.83413	
23.788	10.77370	
24.299	10.76835	
24.809	10.86751	
25.320	10.91882	
25.830	10.91392	
26.341	10.77609	
26.851	10.86000	
27.362	10.82442	
27.872	10.90815	
28.382	10.80751	
28.893	10.82881	
29.403	10.89353	
29.914	10.80959	
30.424	10.89786	
30.935	10.89971	
31.445	10.76708	
31.956	10.86300	
32.466	10.81386	
32.977	10.80649	
33.487	10.80142	
33.998	10.77277	
34.508	10.87339	
35.019	10.80315	
35.529	10.85009	
36.040	10.78874	
36.550	10.82915	
37.061	10.79204	
37.571	10.82066	
38.082	10.81579	
38.592	10.83368	
39.102	10.80132	
39.613	10.82977	
40.123	10.81344	
40.634	10.80779	
41.144	10.89727	
41.655	10.81478	
42.165	10.80206	
42.676	10.81683	
43.186	10.90423	
43.697	10.89384	
44.207	10.91086	
44.718	10.91379	
45.228	10.81330	
45.739	10.88798	
46.249	10.81812	
46.760	10.98084	
47.270	10.90783	
47.781	10.83276	
48.291	10.86354	
48.802	10.89898	
49.312	10.87920	
49.822	10.79119	
50.333	10.84414	
50.843	10.84351	
51.354	10.83285	
51.864	10.86835	
52.375	10.84710	
52.885	10.86284	
53.396	10.84184	
53.906	10.82502	
54.417	10.82426	
54.927	10.83507	
55.438	10.86969	
55.948	10.88901	
56.459	10.79332	
56.969	10.87697	
57.480	10.83628	
57.990	10.81768	
58.501	10.81776	
59.011	10.82344	
59.522	10.80660	
60.032	10.79225	
60.542	10.76805	
61.053	10.70000	
61.563	10.87647	
62.074	10.81704	
62.584	10.84129	
63.095	10.83684	
63.605	10.82891	
64.116	10.81244	
64.626	10.78762	
65.137	10.78527	
65.647	10.85309	
66.158	10.93879	
66.668	10.92053	
67.179	10.79967	
67.689	10.87003	
68.200	10.81293	
68.710	10.81723	
69.221	10.88341	
69.731	10.80676	
70.242	10.79992	
70.752	10.90226	
71.262	10.77126	
71.773	10.82359	
72.283	10.82139	
72.794	10.83774	
73.304	10.81411	
73.815	10.78390	
74.325	10.83616	
74.836	10.80163	
75.346	10.83520	
75.857	10.88089	
76.367	10.77484	
76.878	10.86414	
77.388	10.83191	
77.899	10.80610	
78.409	10.82854	
78.920	10.88966	
79.430	10.83433	
79.941	10.82829	
80.451	10.85429	
80.962	10.78153	
81.472	10.82067	
81.982	10.82945	
82.493	10.90962	
83.003	10.79699	
83.514	10.89906	
84.024	10.81511	
84.535	10.88891	
85.045	10.78436	
85.556	10.82733	
86.066	10.79412	
86.577	10.73871	
87.087	10.89590	
87.598	10.79716	
88.108	10.78576	
88.619	10.82382	
89.129	11.36213	
89.640	11.78221	
90.150	11.58955	
90.661	10.96402	
91.171	10.87009	
91.682	10.79008	
92.192	10.85127	
92.702	10.82535	
93.213	11.53481	
93.723	10.82750	
94.234	10.80888	
94.744	10.91455	
95.255	10.88147	
95.765	10.92587	
96.276	10.99149	
96.786	10.96118	
97.297	10.92259	
97.807	10.82402	
98.318	10.91733	
98.828	10.76423	
99.339	10.87781	
99.849	10.82548	
100.360	10.90705	
100.870	10.93626	
101.381	10.83820	
101.891	10.83482	
102.402	10.82178	
102.912	10.87333	
103.422	10.89831	
103.933	10.81711	
104.443	10.86021	
104.954	10.84055	
105.464	10.75184	
105.975	10.86476	
106.485	12.03317	
106.996	12.09967	
107.506	10.95079	
108.017	11.36955	
108.527	11.65225	
109.038	11.13599	
109.548	10.96865	
110.059	11.13448	
110.569	12.01829	
111.080	11.51722	
111.590	10.74104	
112.101	10.79553	
112.611	10.98235	
113.122	11.85705	
113.632	10.91340	
114.142	12.00607	
114.653	12.05028	
