[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 18:26:58

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 18:10:24	
Measurement duration (s)	28.661	
File Name	2018_12_17_18_10_24_062	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.2000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81816	
0.817	10.82188	
1.327	10.80523	
1.838	10.81754	
2.348	10.81078	
2.859	10.83162	
3.369	10.83121	
3.880	10.82409	
4.390	10.82009	
4.901	10.78603	
5.411	10.82329	
5.922	10.83139	
6.432	10.81717	
6.942	10.79924	
7.453	10.80715	
7.963	10.83182	
8.474	10.84187	
8.984	10.82106	
9.495	10.85578	
10.005	10.83000	
10.516	10.81670	
11.026	10.82942	
11.537	10.84182	
12.047	10.75480	
12.558	10.79645	
13.068	10.87220	
13.579	10.78418	
14.089	10.79672	
14.600	10.80257	
15.110	10.83187	
15.621	10.82795	
16.131	10.83985	
16.642	10.81739	
17.152	10.81848	
17.662	10.81648	
18.173	10.83379	
18.683	10.79074	
19.194	10.79596	
19.704	10.84725	
20.215	10.82005	
20.725	10.81975	
21.236	10.78281	
21.746	10.79675	
22.257	10.82439	
22.767	10.81436	
23.278	10.82451	
23.788	10.88995	
24.299	10.82178	
24.809	10.81352	
25.320	10.81508	
25.830	10.85785	
26.341	10.80344	
26.851	10.81990	
27.362	10.83548	
27.872	10.81880	
28.382	10.81711	
28.893	10.86187	
29.403	10.81856	
29.914	10.83561	
30.424	10.86135	
30.935	10.78754	
31.445	10.85359	
31.956	10.84932	
32.466	10.81631	
32.977	10.80417	
33.487	10.79364	
33.998	10.81860	
34.508	10.87527	
35.019	10.81113	
35.529	10.81450	
36.040	10.79504	
36.550	10.78662	
37.061	10.84462	
37.571	10.78715	
38.082	10.83055	
38.592	10.82985	
39.102	10.79884	
39.613	10.83918	
40.123	10.83850	
40.634	10.81570	
41.144	10.82265	
41.655	10.84397	
42.165	10.79754	
42.676	10.86405	
43.186	10.81751	
43.697	10.82840	
44.207	10.82601	
44.718	10.84842	
45.228	10.79278	
45.739	10.88650	
46.249	10.80134	
46.760	10.80093	
47.270	10.85402	
47.781	10.90418	
48.291	10.80512	
48.802	10.70624	
49.312	10.85629	
49.822	10.83508	
50.333	10.85211	
50.843	10.81644	
51.354	10.81603	
51.864	10.80807	
52.375	10.81699	
52.885	10.80264	
53.396	10.83699	
53.906	10.82008	
54.417	10.78481	
54.927	10.80244	
55.438	10.80462	
55.948	10.83348	
56.459	10.80288	
56.969	10.84641	
57.480	10.84973	
57.990	10.85041	
58.501	10.83377	
59.011	10.79253	
59.522	10.80766	
60.032	10.81901	
60.542	10.84486	
61.053	10.79372	
61.563	10.81635	
62.074	10.81840	
62.584	10.82766	
63.095	10.80629	
63.605	10.84807	
64.116	10.82884	
64.626	10.79371	
65.137	10.83547	
65.647	10.81579	
66.158	10.89780	
66.668	10.79698	
67.179	10.81065	
67.689	10.82370	
68.200	10.80889	
68.710	10.81697	
69.221	10.85019	
69.731	10.76396	
70.242	10.83443	
70.752	10.84793	
71.262	10.85693	
71.773	10.85120	
72.283	10.83712	
72.794	10.81441	
73.304	10.80541	
73.815	10.82698	
74.325	10.80398	
74.836	10.83337	
75.346	10.88275	
75.857	10.83946	
76.367	10.80568	
76.878	10.81374	
77.388	10.81885	
77.899	10.82142	
78.409	10.85005	
78.920	10.80961	
79.430	10.90080	
79.941	10.88203	
80.451	10.80597	
80.962	10.86866	
81.472	10.80589	
81.982	10.85437	
82.493	10.80936	
83.003	10.78525	
83.514	10.80493	
84.024	10.79593	
84.535	10.82863	
85.045	10.78969	
85.556	10.78276	
86.066	10.80101	
86.577	10.83614	
87.087	10.82315	
87.598	10.75009	
88.108	10.77267	
88.619	10.78821	
89.129	10.77760	
89.640	11.58733	
90.150	10.79478	
90.661	10.82596	
91.171	10.78065	
91.682	10.77501	
92.192	10.89039	
92.702	10.87463	
93.213	10.84986	
93.723	10.88790	
94.234	10.82272	
94.744	10.87588	
95.255	10.83909	
95.765	10.77876	
96.276	10.84853	
96.786	10.70000	
97.297	10.83644	
97.807	10.85577	
98.318	10.81794	
98.828	10.85485	
99.339	10.78287	
99.849	10.84846	
100.360	10.82528	
100.870	10.85094	
101.381	10.84188	
101.891	10.81529	
102.402	10.82239	
102.912	10.80680	
103.422	10.78656	
103.933	10.77151	
104.443	10.77479	
104.954	10.70000	
105.464	10.70000	
105.975	10.70000	
106.485	10.79992	
106.996	10.70000	
107.506	10.81406	
108.017	11.71407	
108.527	11.89071	
109.038	10.76436	
109.548	12.07883	
110.059	11.78417	
110.569	11.08339	
111.080	10.87712	
111.590	10.86570	
112.101	11.93522	
112.611	11.72143	
113.122	11.46223	
113.632	10.70000	
114.142	10.70000	
114.653	11.95683	
