[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 18:26:24

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 18:05:55	
Measurement duration (s)	29.024	
File Name	2018_12_17_18_05_55_244	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.2000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81493	
0.817	10.80280	
1.327	10.81634	
1.838	10.82783	
2.348	10.82893	
2.859	10.83266	
3.369	10.81912	
3.880	10.81510	
4.390	10.82500	
4.901	10.86932	
5.411	10.81404	
5.922	10.84184	
6.432	10.84833	
6.942	10.83476	
7.453	10.87281	
7.963	10.78150	
8.474	10.79955	
8.984	10.81492	
9.495	10.82153	
10.005	10.83559	
10.516	10.85732	
11.026	10.83130	
11.537	10.80034	
12.047	10.85203	
12.558	10.79804	
13.068	10.87403	
13.579	10.84208	
14.089	10.81622	
14.600	10.80714	
15.110	10.85179	
15.621	10.86571	
16.131	10.80896	
16.642	10.83676	
17.152	10.81859	
17.662	10.80135	
18.173	10.80782	
18.683	10.83053	
19.194	10.77004	
19.704	10.80682	
20.215	10.82338	
20.725	10.81106	
21.236	10.83249	
21.746	10.84461	
22.257	10.81351	
22.767	10.85336	
23.278	10.77864	
23.788	10.79980	
24.299	10.83885	
24.809	10.78931	
25.320	10.87269	
25.830	10.86728	
26.341	10.85899	
26.851	10.81826	
27.362	10.81020	
27.872	10.81085	
28.382	10.82857	
28.893	10.75936	
29.403	10.90191	
29.914	10.84285	
30.424	10.82649	
30.935	10.98483	
31.445	10.79694	
31.956	10.82741	
32.466	10.84616	
32.977	10.79856	
33.487	10.79577	
33.998	10.83209	
34.508	10.78520	
35.019	10.85974	
35.529	10.76367	
36.040	10.80770	
36.550	10.83312	
37.061	10.82727	
37.571	10.91174	
38.082	10.79318	
38.592	10.78504	
39.102	10.92535	
39.613	10.83224	
40.123	10.78051	
40.634	10.86505	
41.144	10.80721	
41.655	10.83631	
42.165	10.84568	
42.676	10.79210	
43.186	10.94332	
43.697	10.78943	
44.207	10.82116	
44.718	10.80267	
45.228	10.81313	
45.739	10.89253	
46.249	10.85376	
46.760	10.99577	
47.270	10.81120	
47.781	10.78970	
48.291	10.82057	
48.802	10.82695	
49.312	10.80589	
49.822	10.83197	
50.333	10.81196	
50.843	10.79328	
51.354	10.83744	
51.864	10.81283	
52.375	10.80459	
52.885	10.83083	
53.396	10.80719	
53.906	10.85549	
54.417	10.81101	
54.927	10.79782	
55.438	10.84183	
55.948	10.82712	
56.459	10.83576	
56.969	10.84283	
57.480	10.80232	
57.990	10.83835	
58.501	10.82418	
59.011	10.89036	
59.522	10.79460	
60.032	10.80800	
60.542	10.81015	
61.053	10.83199	
61.563	10.83753	
62.074	10.84750	
62.584	10.81524	
63.095	10.85013	
63.605	10.79279	
64.116	10.85533	
64.626	10.81467	
65.137	10.81900	
65.647	10.90761	
66.158	10.86202	
66.668	10.82051	
67.179	10.83229	
67.689	10.85704	
68.200	10.81564	
68.710	10.82081	
69.221	10.79167	
69.731	10.78541	
70.242	10.90125	
70.752	10.80665	
71.262	10.75670	
71.773	10.82098	
72.283	10.88818	
72.794	10.79530	
73.304	10.79841	
73.815	10.79507	
74.325	10.79170	
74.836	10.80373	
75.346	10.81820	
75.857	10.79215	
76.367	10.86938	
76.878	10.82566	
77.388	10.79373	
77.899	10.83865	
78.409	10.81013	
78.920	10.81706	
79.430	10.84110	
79.941	10.84889	
80.451	10.84274	
80.962	10.79099	
81.472	10.84955	
81.982	10.80689	
82.493	10.86135	
83.003	10.81898	
83.514	10.80068	
84.024	10.76202	
84.535	10.83200	
85.045	10.80439	
85.556	10.82401	
86.066	10.78569	
86.577	10.70000	
87.087	10.79098	
87.598	10.79264	
88.108	10.78300	
88.619	10.80925	
89.129	10.79188	
89.640	11.60683	
90.150	10.97481	
90.661	10.70000	
91.171	10.78999	
91.682	10.84151	
92.192	10.82372	
92.702	10.92041	
93.213	10.79140	
93.723	10.82214	
94.234	10.76003	
94.744	10.85722	
95.255	10.78671	
95.765	10.96018	
96.276	10.83089	
96.786	10.85130	
97.297	10.80150	
97.807	10.82918	
98.318	10.83914	
98.828	10.79890	
99.339	10.80680	
99.849	10.84363	
100.360	10.85453	
100.870	10.75738	
101.381	10.81017	
101.891	10.84000	
102.402	10.82825	
102.912	10.92922	
103.422	10.82755	
103.933	10.92485	
104.443	10.79541	
104.954	11.21998	
105.464	11.55107	
105.975	10.83237	
106.485	11.57130	
106.996	10.70000	
107.506	11.93208	
108.017	11.04870	
108.527	11.34060	
109.038	11.49301	
109.548	11.20215	
110.059	10.92464	
110.569	11.83753	
111.080	10.74987	
111.590	11.91730	
112.101	11.05334	
112.611	11.40898	
113.122	11.17074	
113.632	11.52056	
114.142	11.20807	
114.653	11.38888	
