[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 19:11:42

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 15:24:15	
Measurement duration (s)	17.251	
File Name	2018_12_17_15_24_15_708	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	120.00	
Sample Count	471	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	2.5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.051	10.82471	
0.306	10.81157	
0.562	10.81189	
0.817	10.82038	
1.072	10.81555	
1.327	10.79998	
1.582	10.79737	
1.838	10.82631	
2.093	10.82633	
2.348	10.82828	
2.603	10.81347	
2.859	10.82407	
3.114	10.83427	
3.369	10.83820	
3.624	10.83485	
3.880	10.82544	
4.135	10.82292	
4.390	10.82948	
4.645	10.84897	
4.901	10.84558	
5.156	10.91828	
5.411	10.88456	
5.666	10.81634	
5.922	10.79940	
6.177	10.81791	
6.432	10.78540	
6.687	10.82727	
6.942	10.81336	
7.198	10.79791	
7.453	10.80129	
7.708	10.83879	
7.963	10.93333	
8.219	10.86220	
8.474	10.90895	
8.729	10.85159	
8.984	10.83723	
9.240	10.81639	
9.495	10.83187	
9.750	10.82500	
10.005	10.83347	
10.261	10.85307	
10.516	10.82371	
10.771	10.81425	
11.026	10.86465	
11.282	10.70000	
11.537	11.00636	
11.792	10.85884	
12.047	10.94490	
12.302	10.85219	
12.558	11.01698	
12.813	10.83763	
13.068	10.87928	
13.323	10.77352	
13.579	10.84623	
13.834	10.85130	
14.089	10.80823	
14.344	10.78078	
14.600	10.80573	
14.855	10.81832	
15.110	10.95402	
15.365	10.94818	
15.621	10.79533	
15.876	10.79697	
16.131	10.81554	
16.386	10.82708	
16.642	10.78685	
16.897	10.83675	
17.152	10.87054	
17.407	10.72699	
17.662	10.80004	
17.918	10.81921	
18.173	10.82631	
18.428	10.86818	
18.683	10.79426	
18.939	10.84071	
19.194	10.83996	
19.449	10.80727	
19.704	10.84795	
19.960	10.83989	
20.215	10.85650	
20.470	10.81997	
20.725	10.78959	
20.981	10.80604	
21.236	10.81601	
21.491	10.88224	
21.746	10.96186	
22.002	10.82003	
22.257	10.80426	
22.512	10.80444	
